group,trial,projection_seed,label,text,from_checkpoint,to_checkpoint,route_stability,node_jaccard,edge_jaccard,node_retention,edge_retention,added_nodes,removed_nodes,added_edges,removed_edges,added_node_persistence,added_edge_persistence,current_nodes,current_edges
異なる射影,1,20261813,無関係文,犬は公園を走っている,0,1,0.95738095,0.96666667,0.95238095,0.96666667,0.95238095,0,1,0,1,0.0,0.0,29,20
異なる射影,1,20261813,学習文,今日は晴れて気持ちいい,1,5,0.84791667,0.875,0.83333333,1.0,1.0,4,0,4,0,1.0,1.0,32,24
異なる射影,1,20261813,類似文,今日の天気は最高だ,1,5,0.92089762,0.93548387,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,31,23
異なる射影,1,20261813,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,1,20261813,学習文,今日は晴れて気持ちいい,5,10,0.90718954,0.94117647,0.88888889,1.0,1.0,2,0,3,0,1.0,1.0,34,27
異なる射影,1,20261813,類似文,今日の天気は最高だ,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,23
異なる射影,1,20261813,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,1,20261813,学習文,今日は晴れて気持ちいい,10,20,0.93572797,0.94444444,0.93103448,1.0,1.0,2,0,2,0,1.0,1.0,36,29
異なる射影,1,20261813,類似文,今日の天気は最高だ,10,20,0.89018182,0.90909091,0.88,0.96774194,0.95652174,2,1,2,1,1.0,1.0,32,24
異なる射影,1,20261813,無関係文,犬は公園を走っている,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,1,20261813,学習文,今日は晴れて気持ちいい,20,50,0.86172884,0.87804878,0.85294118,1.0,1.0,5,0,5,0,0.0,0.0,41,34
異なる射影,1,20261813,類似文,今日の天気は最高だ,20,50,0.88311547,0.94117647,0.85185185,1.0,0.95833333,2,0,3,1,0.0,0.0,34,26
異なる射影,1,20261813,無関係文,犬は公園を走っている,20,50,0.95738095,0.96666667,0.95238095,1.0,1.0,1,0,1,0,0.0,0.0,30,21
異なる射影,2,20262822,学習文,今日は晴れて気持ちいい,0,1,0.95738095,0.96666667,0.95238095,1.0,1.0,1,0,1,0,1.0,1.0,30,21
