group,label,from_checkpoint,to_checkpoint,trials,route_stability_mean,route_stability_std,node_jaccard_mean,node_jaccard_std,edge_jaccard_mean,edge_jaccard_std,node_retention_mean,node_retention_std,edge_retention_mean,edge_retention_std,added_nodes_mean,added_nodes_std,removed_nodes_mean,removed_nodes_std,added_edges_mean,added_edges_std,removed_edges_mean,removed_edges_std,added_node_persistence_mean,added_node_persistence_std,added_edge_persistence_mean,added_edge_persistence_std,current_nodes_mean,current_nodes_std,current_edges_mean,current_edges_std
異なる射影,学習文,5,10,5,0.91369607,0.031286297785520716,0.9359381279999999,0.02628038862209795,0.901719576,0.0350955613504418,1.0,0.0,1.0,0.0,2.2,0.9797958971132712,0.0,0.0,2.6,1.019803902718557,0.0,0.0,1.0,0.0,1.0,0.0,34.0,1.8973665961010275,26.0,1.6733200530681511
異なる射影,学習文,10,20,5,0.8968534819999998,0.04625464151590644,0.927188482,0.04429224491800089,0.8805192500000001,0.04950150656751124,1.0,0.0,1.0,0.0,2.8,1.7204650534085253,0.0,0.0,3.6,1.624807680927192,0.0,0.0,0.8,0.4,1.0,0.0,36.8,3.1874754901018454,29.6,2.244994432064365
異なる射影,学習文,20,50,5,0.8940577019999999,0.04604287952591035,0.9098771259999999,0.03642580330380903,0.8855395500000001,0.0514518056165142,1.0,0.0,1.0,0.0,3.8,1.7204650534085255,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,4.586937976471886,33.6,3.6660605559646715
異なる射影,無関係文,0,1,5,0.974579108,0.03383211248323781,0.980430108,0.025917324532472415,0.9714285699999999,0.038095239999999995,0.986666668,0.016329929985561382,0.9804761899999999,0.023923537106046854,0.2,0.4000000000000001,0.4,0.48989794855663565,0.2,0.4000000000000001,0.4,0.48989794855663565,0.2,0.4000000000000001,0.2,0.4000000000000001,29.8,1.1661903789690602,20.6,0.7999999999999999
異なる射影,無関係文,1,5,5,0.98294719,0.02088679302636954,0.9866518360000001,0.016363225606992753,0.9809523800000001,0.023328474907215856,1.0,0.0,1.0,0.0,0.4,0.48989794855663565,0.0,0.0,0.4,0.48989794855663565,0.0,0.0,0.4,0.48989794855663565,0.4,0.48989794855663565,30.2,0.9797958971132712,21.0,0.6324555320336759
異なる射影,無関係文,5,10,5,0.9919034100000002,0.016193180000000005,0.99375,0.012499999999999999,0.9909090899999999,0.018181819999999994,1.0,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.4,0.2,0.4,30.4,1.2,21.2,0.7483314773547882
異なる射影,無関係文,10,20,5,0.952777334,0.0428234028302047,0.976102942,0.0343705746129077,0.9402173919999999,0.050750510627209415,0.99375,0.012499999999999999,0.98181818,0.02226809079756501,0.6,0.7999999999999999,0.2,0.4,1.0,0.8944271909999159,0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,30.8,1.6,21.8,1.1661903789690602
異なる射影,無関係文,20,50,5,0.9331756520000001,0.0480121322165077,0.950785218,0.03191048427444459,0.923693582,0.05692094915756496,0.993103448,0.01379310399999998,0.9809523800000001,0.038095239999999995,1.4,0.8,0.2,0.4,1.4,0.8,0.4,0.8,0.0,0.0,0.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362
異なる射影,類似文,0,1,5,0.986251236,0.01727659373962889,0.99375,0.012499999999999999,0.9822134379999999,0.021792963403038507,1.0,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.4,0.48989794855663565,0.0,0.0,0.2,0.4,0.4,0.48989794855663565,30.2,1.16619037896906,21.6,1.0198039027185568
異なる射影,類似文,1,5,5,0.950749572,0.053325348136392864,0.964874552,0.045473122412267836,0.9431438140000001,0.05823624970862654,1.0,0.0,1.0,0.0,1.2,1.5999999999999999,0.0,0.0,1.4,1.4966629547095764,0.0,0.0,0.4,0.48989794855663565,0.6,0.48989794855663565,31.4,2.4166091947189146,23.0,1.8973665961010275
異なる射影,類似文,5,10,5,0.980468056,0.025531460145799413,0.988194444,0.01450042619637588,0.976307692,0.031851727637091445,0.994444444,0.01111111199999999,0.992307692,0.015384616000000007,0.2,0.4,0.2,0.4,0.4,0.8,0.2,0.4,0.2,0.4,0.2,0.4,31.4,2.0591260281974,23.2,1.8330302779823362
異なる射影,類似文,10,20,5,0.921548684,0.05204803982761026,0.9409685079999999,0.04222208160650227,0.911091856,0.05887077899404987,0.993548388,0.01290322399999999,0.9913043479999999,0.017391303999999996,1.8,1.32664991614216,0.2,0.4000000000000001,2.2,1.6,0.2,0.4000000000000001,0.8,0.4,0.8,0.4,33.0,2.3664319132398464,25.2,3.059411708155671
異なる射影,類似文,20,50,5,0.8889254579999999,0.06469451071495398,0.9164206220000001,0.05249086700196919,0.87412037,0.07302709169032819,0.9882352940000001,0.023529411999999982,0.969444444,0.04339027573541176,2.8,1.9390719429665317,0.4,0.8000000000000002,3.0,1.8973665961010275,0.8,1.1661903789690604,0.0,0.0,0.0,0.0,35.4,4.223742416388575,27.4,4.454211490264018
