group,trial,condition,label,cut_edges,retention,sunny_affinity,rainy_affinity,sunny_margin,rainy_margin
固定射影,3,晴れ中心クラスタ,雨未経験,28,1.0,0.07409229,0.26789436,0.16806599,0.19380207
固定射影,3,晴れ中心クラスタ,曖昧天気,28,0.94833333,0.29758812,0.16934914,0.16806599,0.19380207
固定射影,3,晴れ中心クラスタ,遠い対照,28,1.0,0.02598517,0.00979445,0.16806599,0.19380207
固定射影,4,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,4,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,4,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,4,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,4,天気共通クラスタ,晴れ未経験,21,0.61590909,0.17718519,0.01658074,0.16060444,0.19380207
固定射影,4,天気共通クラスタ,雨未経験,21,1.0,0.07409229,0.26789436,0.16060444,0.19380207
固定射影,4,天気共通クラスタ,曖昧天気,21,0.47305556,0.09173514,0.02056199,0.16060444,0.19380207
固定射影,4,天気共通クラスタ,遠い対照,21,1.0,0.02598517,0.00979445,0.16060444,0.19380207
固定射影,4,雨中心クラスタ,晴れ未経験,35,0.86818182,0.35697783,0.09325941,0.26371841,0.03174437
固定射影,4,雨中心クラスタ,雨未経験,35,0.125,0.01000653,0.0417509,0.26371841,0.03174437
固定射影,4,雨中心クラスタ,曖昧天気,35,1.0,0.315874,0.16392125,0.26371841,0.03174437
固定射影,4,雨中心クラスタ,遠い対照,35,1.0,0.02598517,0.00979445,0.26371841,0.03174437
固定射影,4,混合・補助クラスタ,晴れ未経験,86,0.88787879,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,4,混合・補助クラスタ,雨未経験,86,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,4,混合・補助クラスタ,曖昧天気,86,0.67194444,0.30188328,0.18226151,0.27438657,0.19380207
固定射影,4,混合・補助クラスタ,遠い対照,86,0.14482759,0.0927578,0.08749769,0.27438657,0.19380207
固定射影,4,晴れ中心クラスタ,晴れ未経験,10,0.68863636,0.22121636,0.10116141,0.12005495,0.19380207
固定射影,4,晴れ中心クラスタ,雨未経験,10,1.0,0.07409229,0.26789436,0.12005495,0.19380207
固定射影,4,晴れ中心クラスタ,曖昧天気,10,0.90444444,0.28350241,0.16934914,0.12005495,0.19380207
固定射影,4,晴れ中心クラスタ,遠い対照,10,0.95372051,0.0209366,0.00997145,0.12005495,0.19380207
固定射影,5,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,5,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,5,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,5,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,5,晴れ中心クラスタ,晴れ未経験,32,0.33257576,0.04767267,0.01851247,0.0291602,0.19380207
固定射影,5,晴れ中心クラスタ,雨未経験,32,1.0,0.07409229,0.26789436,0.0291602,0.19380207
固定射影,5,晴れ中心クラスタ,曖昧天気,32,0.28194444,0.0492086,0.02190551,0.0291602,0.19380207
固定射影,5,晴れ中心クラスタ,遠い対照,32,1.0,0.02598517,0.00979445,0.0291602,0.19380207
固定射影,5,混合・補助クラスタ,晴れ未経験,93,0.7280303,0.35431017,0.09471521,0.25959496,0.18639011
固定射影,5,混合・補助クラスタ,雨未経験,93,0.50075758,0.04204025,0.22843036,0.25959496,0.18639011
固定射影,5,混合・補助クラスタ,曖昧天気,93,0.71583333,0.31575883,0.17906941,0.25959496,0.18639011
固定射影,5,混合・補助クラスタ,遠い対照,93,0.14482759,0.0927578,0.08749769,0.25959496,0.18639011
固定射影,5,雨中心クラスタ,晴れ未経験,27,1.0,0.36322572,0.08883915,0.27438657,0.04623265
固定射影,5,雨中心クラスタ,雨未経験,27,0.61590909,0.05298107,0.09921373,0.27438657,0.04623265
固定射影,5,雨中心クラスタ,曖昧天気,27,1.0,0.315874,0.16392125,0.27438657,0.04623265
固定射影,5,雨中心クラスタ,遠い対照,27,1.0,0.02598517,0.00979445,0.27438657,0.04623265
異なる射影,1,無処置,晴れ未経験,0,1.0,0.12782333,0.11537661,0.01244673,0.07418735
異なる射影,1,無処置,雨未経験,0,1.0,0.20062501,0.27481235,0.01244673,0.07418735
異なる射影,1,無処置,曖昧天気,0,1.0,0.20674836,0.27816724,0.01244673,0.07418735
異なる射影,1,無処置,遠い対照,0,1.0,0.05119613,0.07892175,0.01244673,0.07418735
異なる射影,1,混合・補助クラスタ,晴れ未経験,97,0.61142857,0.1293757,0.10214769,0.02722802,0.15345503
異なる射影,1,混合・補助クラスタ,雨未経験,97,0.64208614,0.1325079,0.28596292,0.02722802,0.15345503
異なる射影,1,混合・補助クラスタ,曖昧天気,97,0.78,0.18801336,0.28591881,0.02722802,0.15345503
異なる射影,1,混合・補助クラスタ,遠い対照,97,0.51409314,0.02596782,0.07008116,0.02722802,0.15345503
異なる射影,1,晴れ中心クラスタ,晴れ未経験,14,0.585,0.02780058,0.04402727,-0.01622669,0.10210379
異なる射影,1,晴れ中心クラスタ,雨未経験,14,0.91424494,0.16707095,0.26917473,-0.01622669,0.10210379
異なる射影,1,晴れ中心クラスタ,曖昧天気,14,0.68111111,0.11566162,0.23185619,-0.01622669,0.10210379
異なる射影,1,晴れ中心クラスタ,遠い対照,14,0.78602941,0.00679025,0.06054293,-0.01622669,0.10210379
異なる射影,1,雨中心クラスタ,晴れ未経験,22,0.93357143,0.13023818,0.1057268,0.02451138,-0.05431766
異なる射影,1,雨中心クラスタ,雨未経験,22,0.61878568,0.22713641,0.17281875,0.02451138,-0.05431766
異なる射影,1,雨中心クラスタ,曖昧天気,22,0.71444444,0.20297869,0.20387967,0.02451138,-0.05431766
異なる射影,1,雨中心クラスタ,遠い対照,22,0.68419118,0.0560365,0.03499582,0.02451138,-0.05431766
異なる射影,1,天気共通クラスタ,晴れ未経験,8,1.0,0.12782333,0.11537661,0.01244673,0.05008498
異なる射影,1,天気共通クラスタ,雨未経験,8,0.80518941,0.12918278,0.17926776,0.01244673,0.05008498
異なる射影,1,天気共通クラスタ,曖昧天気,8,0.81222222,0.15035184,0.17601126,0.01244673,0.05008498
異なる射影,1,天気共通クラスタ,遠い対照,8,1.0,0.05119613,0.07892175,0.01244673,0.05008498
異なる射影,2,無処置,晴れ未経験,0,1.0,0.21476403,0.26293965,-0.04817562,0.20834901
異なる射影,2,無処置,雨未経験,0,1.0,0.17017556,0.37852457,-0.04817562,0.20834901
異なる射影,2,無処置,曖昧天気,0,1.0,0.25399915,0.26414199,-0.04817562,0.20834901
異なる射影,2,無処置,遠い対照,0,1.0,0.00786869,0.0158183,-0.04817562,0.20834901
異なる射影,2,混合・補助クラスタ,晴れ未経験,101,0.52093822,0.17982895,0.27103382,-0.09120487,0.1310029
