group,trial,cluster_id,semantic_name,edge_a,edge_b,usage_pattern
固定射影,1,2,晴れ中心クラスタ,212,509,1011001010
固定射影,1,2,晴れ中心クラスタ,216,514,1001000010
固定射影,1,2,晴れ中心クラスタ,235,362,1011001010
固定射影,1,2,晴れ中心クラスタ,241,483,1011001010
固定射影,1,2,晴れ中心クラスタ,241,572,1011001010
固定射影,1,2,晴れ中心クラスタ,271,362,1111001010
固定射影,1,2,晴れ中心クラスタ,277,492,1011011010
固定射影,1,2,晴れ中心クラスタ,298,354,1110001000
固定射影,1,2,晴れ中心クラスタ,302,461,1011001010
固定射影,1,2,晴れ中心クラスタ,318,511,1110001000
固定射影,1,2,晴れ中心クラスタ,349,545,1110001010
固定射影,1,2,晴れ中心クラスタ,461,509,1011001010
固定射影,1,3,混合・補助クラスタ,1,443,0100000000
固定射影,1,3,混合・補助クラスタ,1,512,0100000000
固定射影,1,3,混合・補助クラスタ,2,556,0100000000
固定射影,1,3,混合・補助クラスタ,26,561,0100000000
固定射影,1,3,混合・補助クラスタ,69,560,0100000000
固定射影,1,3,混合・補助クラスタ,79,575,0100000000
固定射影,1,3,混合・補助クラスタ,119,341,0100000000
固定射影,1,3,混合・補助クラスタ,119,556,0100000000
固定射影,1,3,混合・補助クラスタ,126,372,1100000010
固定射影,1,3,混合・補助クラスタ,141,374,0100000000
固定射影,1,3,混合・補助クラスタ,141,560,0100000000
固定射影,1,3,混合・補助クラスタ,179,512,0100000000
固定射影,1,3,混合・補助クラスタ,179,559,0100000000
固定射影,1,3,混合・補助クラスタ,226,230,0100000000
固定射影,1,3,混合・補助クラスタ,230,426,0100000000
固定射影,1,3,混合・補助クラスタ,341,556,0100000000
固定射影,1,3,混合・補助クラスタ,372,561,1100000010
固定射影,1,3,混合・補助クラスタ,374,560,0100000000
固定射影,1,3,混合・補助クラスタ,426,565,0100000000
固定射影,1,3,混合・補助クラスタ,426,589,0100000000
固定射影,1,3,混合・補助クラスタ,443,575,0100000000
固定射影,1,3,混合・補助クラスタ,565,589,0100000000
固定射影,1,4,曖昧・橋渡しクラスタ,4,429,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,4,554,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,33,121,1000001000
固定射影,1,4,曖昧・橋渡しクラスタ,36,349,0000001010
固定射影,1,4,曖昧・橋渡しクラスタ,45,58,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,45,312,1000000010
固定射影,1,4,曖昧・橋渡しクラスタ,49,375,0000000100
固定射影,1,4,曖昧・橋渡しクラスタ,49,378,0000000100
固定射影,1,4,曖昧・橋渡しクラスタ,142,196,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,142,335,0000001000
固定射影,1,4,曖昧・橋渡しクラスタ,161,446,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,168,312,1000000010
固定射影,1,4,曖昧・橋渡しクラスタ,168,525,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,169,393,0000001010
固定射影,1,4,曖昧・橋渡しクラスタ,196,197,0000000010
固定射影,1,4,曖昧・橋渡しクラスタ,218,496,0010001100
固定射影,1,4,曖昧・橋渡しクラスタ,295,335,0000001000
固定射影,1,4,曖昧・橋渡しクラスタ,311,420,0000001100
固定射影,1,4,曖昧・橋渡しクラスタ,369,409,1000000100
固定射影,1,4,曖昧・橋渡しクラスタ,369,550,1000000100
固定射影,1,4,曖昧・橋渡しクラスタ,383,420,0000001100
固定射影,1,4,曖昧・橋渡しクラスタ,478,516,0000001100
固定射影,1,4,曖昧・橋渡しクラスタ,496,516,0010001100
固定射影,2,0,混合・補助クラスタ,1,443,0100000000
固定射影,2,0,混合・補助クラスタ,1,512,0100000000
固定射影,2,0,混合・補助クラスタ,2,556,0100000000
固定射影,2,0,混合・補助クラスタ,26,561,0100000000
固定射影,2,0,混合・補助クラスタ,33,121,1000001000
固定射影,2,0,混合・補助クラスタ,33,463,1000000000
固定射影,2,0,混合・補助クラスタ,42,529,0000010000
固定射影,2,0,混合・補助クラスタ,49,375,0000000100
固定射影,2,0,混合・補助クラスタ,49,378,0000000100
固定射影,2,0,混合・補助クラスタ,69,560,0100000000
固定射影,2,0,混合・補助クラスタ,70,203,0010000000
固定射影,2,0,混合・補助クラスタ,76,78,0000010000
固定射影,2,0,混合・補助クラスタ,76,551,0000010000
固定射影,2,0,混合・補助クラスタ,78,551,0000010000
固定射影,2,0,混合・補助クラスタ,79,575,0100000000
固定射影,2,0,混合・補助クラスタ,80,145,0010000000
固定射影,2,0,混合・補助クラスタ,101,551,0000010000
固定射影,2,0,混合・補助クラスタ,119,341,0100000000
固定射影,2,0,混合・補助クラスタ,119,556,0100000000
固定射影,2,0,混合・補助クラスタ,121,381,1000001001
固定射影,2,0,混合・補助クラスタ,141,374,0100000000
固定射影,2,0,混合・補助クラスタ,141,560,0100000000
固定射影,2,0,混合・補助クラスタ,142,335,0000001000
固定射影,2,0,混合・補助クラスタ,145,348,0010000000
固定射影,2,0,混合・補助クラスタ,160,225,0000000001
固定射影,2,0,混合・補助クラスタ,160,490,0000000001
固定射影,2,0,混合・補助クラスタ,179,512,0100000000
固定射影,2,0,混合・補助クラスタ,179,559,0100000000
固定射影,2,0,混合・補助クラスタ,190,287,0000000001
固定射影,2,0,混合・補助クラスタ,193,323,0000000001
