group,semantic_name,trials,edge_count_mean,edge_count_std,feature_0_mean,feature_0_std,feature_1_mean,feature_1_std,feature_2_mean,feature_2_std,feature_3_mean,feature_3_std,feature_4_mean,feature_4_std,feature_5_mean,feature_5_std,feature_6_mean,feature_6_std,feature_7_mean,feature_7_std,feature_8_mean,feature_8_std,feature_9_mean,feature_9_std
固定射影,天気共通クラスタ,2,22.0,1.0,1.0,0.0,0.18012422360248448,0.037267080745341616,0.7722567287784678,0.010351966873706042,0.9565217391304348,0.043478260869565244,0.0,0.0,0.40993788819875776,0.018633540372670787,0.681159420289855,0.014492753623188415,0.0,0.0,1.0,0.0,0.0,0.0
固定射影,晴れ中心クラスタ,5,24.6,7.735631842325486,0.8571428571428571,0.28571428571428575,0.5962787356321839,0.2585993781129752,0.7183743842364532,0.2657098107171974,0.40941091954022985,0.3350814065010062,0.0,0.0,0.15998563218390804,0.1347896433416653,0.7216646141215106,0.27360701088307715,0.0,0.0,0.5191564039408867,0.31602209549942045,0.02,0.04
固定射影,曖昧・橋渡しクラスタ,2,20.5,2.5,0.358695652173913,0.14130434782608695,0.05555555555555555,0.05555555555555555,0.043478260869565216,0.043478260869565216,0.1388888888888889,0.1388888888888889,0.0,0.0,0.1111111111111111,0.1111111111111111,0.27294685990338163,0.16183574879227053,0.1956521739130435,0.1956521739130435,0.7391304347826086,0.2608695652173913,0.0,0.0
固定射影,混合・補助クラスタ,9,40.55555555555556,18.306714682573052,0.11023014948854942,0.03174681376707767,0.36650082918739635,0.45706806995167343,0.12118183111399618,0.09599231735588887,0.02016559829059829,0.04302286886759942,0.09945859981615131,0.13609877410997778,0.05108628055375297,0.07589756568000852,0.0733291405753148,0.07693774923038038,0.07513150686987385,0.12105517730456009,0.0925961633682222,0.07720402201225246,0.2573212634610409,0.3074125510876686
固定射影,雨中心クラスタ,7,26.714285714285715,5.443588252359328,0.008163265306122448,0.019995834634964717,0.15055400948258088,0.09974346956189468,0.10871598639455783,0.09720892286882056,0.5044660035731464,0.223977947137757,0.5419024427953,0.334744536879795,0.5915120593692021,0.2973538024036765,0.02040816326530612,0.0499895865874118,0.61139627568199,0.2311579834643602,0.0,0.0,0.011564625850340135,0.01867963294931426
異なる射影,天気共通クラスタ,3,15.0,6.164414002968976,0.6190476190476191,0.4416008807378906,0.857919254658385,0.05336662324405944,0.8985507246376812,0.143470941110314,0.7989130434782609,0.20252618522695648,0.6281055900621118,0.19756837938938324,0.9855072463768115,0.02049584873004484,0.5238095238095238,0.40963453652583937,0.8840579710144928,0.16396678984035884,0.635351966873706,0.32636802274530075,0.023809523809523808,0.03367175148507369
異なる射影,晴れ中心クラスタ,3,23.666666666666668,9.741092797468305,0.6666666666666666,0.4714045207910317,0.19144144144144146,0.13872850085076122,0.7619047619047619,0.3367175148507369,0.47940797940797936,0.317160310200889,0.22882882882882885,0.19965069732280433,0.0,0.0,0.7288288288288287,0.21062978290352607,0.1119047619047619,0.12458548049477265,0.6117117117117117,0.3585562949813108,0.2032175032175032,0.1595363597586917
異なる射影,曖昧・橋渡しクラスタ,2,18.5,6.5,0.5,0.5,0.5966666666666667,0.2366666666666667,0.36,0.36,0.535,0.215,0.42,0.42,0.75,0.25,0.36,0.36,0.44,0.44,0.78,0.21999999999999997,0.0,0.0
異なる射影,混合・補助クラスタ,13,35.0,16.865987621883825,0.25675219235147684,0.38591845819729304,0.2954928499904366,0.3715612277836911,0.2274079444665107,0.3396365504024065,0.12756154016663282,0.10790958276245761,0.17316551177923187,0.19907368006100387,0.12740698393861613,0.14205896633155735,0.15166425618632384,0.17311025136805483,0.17920206499947386,0.09956973265587694,0.08440929880361138,0.08629633496409597,0.14145429273282534,0.16080128334285035
異なる射影,雨中心クラスタ,4,25.0,12.864680330268607,0.40313852813852813,0.3857686221875851,0.021739130434782608,0.03765327842541037,0.03571428571428571,0.06185895741317419,0.3228637304724261,0.08223415855978448,0.5201863354037267,0.2885882711520422,0.7267786561264822,0.2805223542752088,0.03359683794466403,0.037549407114624504,0.4824487107095803,0.23670922284673457,0.5287502352719744,0.3228177966224653,0.09041501976284586,0.13269375022478108
