group,trial,cluster_id,semantic_name,edge_count,loss,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
固定射影,1,0,雨中心クラスタ,32,134.94122682976695,0.0,0.1875,0.15625,0.65625,0.59375,0.625,0.0,0.75,0.0,0.0
固定射影,1,1,混合・補助クラスタ,46,134.94122682976695,0.10869565217391304,0.0,0.1956521739130435,0.0,0.2391304347826087,0.15217391304347827,0.021739130434782608,0.0,0.0,0.41304347826086957
固定射影,1,2,晴れ中心クラスタ,29,134.94122682976695,1.0,0.3793103448275862,0.8275862068965517,0.7241379310344828,0.0,0.3103448275862069,0.7586206896551724,0.0,0.7931034482758621,0.0
固定射影,1,3,混合・補助クラスタ,22,134.94122682976695,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
固定射影,1,4,曖昧・橋渡しクラスタ,23,134.94122682976695,0.21739130434782608,0.0,0.08695652173913043,0.0,0.0,0.0,0.43478260869565216,0.391304347826087,0.4782608695652174,0.0
固定射影,2,0,混合・補助クラスタ,67,133.32434688031702,0.11940298507462686,0.29850746268656714,0.16417910447761194,0.0,0.0,0.1044776119402985,0.13432835820895522,0.13432835820895522,0.0,0.26865671641791045
固定射影,2,1,晴れ中心クラスタ,24,133.32434688031702,1.0,0.4583333333333333,1.0,0.6666666666666666,0.0,0.20833333333333334,0.9166666666666666,0.0,0.75,0.0
固定射影,2,2,曖昧・橋渡しクラスタ,18,133.32434688031702,0.5,0.1111111111111111,0.0,0.2777777777777778,0.0,0.2222222222222222,0.1111111111111111,0.0,1.0,0.0
固定射影,2,3,雨中心クラスタ,22,133.32434688031702,0.0,0.2727272727272727,0.0,0.8636363636363636,0.4090909090909091,0.7727272727272727,0.0,0.8636363636363636,0.0,0.0
固定射影,2,4,雨中心クラスタ,21,133.32434688031702,0.0,0.0,0.23809523809523808,0.09523809523809523,1.0,0.14285714285714285,0.0,0.23809523809523808,0.0,0.047619047619047616
固定射影,3,0,混合・補助クラスタ,51,132.0970588235294,0.19607843137254902,0.0,0.21568627450980393,0.0,0.0,0.0,0.21568627450980393,0.17647058823529413,0.21568627450980393,0.35294117647058826
