group,fraction,phase,label,trials,route_retention_mean,route_retention_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,train_similar_overlap_mean,train_similar_overlap_std,train_unrelated_overlap_mean,train_unrelated_overlap_std
異なる射影,0.0,復元,類似文,5,0.9843703699999999,0.03125925999999999,35.0,4.33589667773576,27.0,4.560701700396552,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786
異なる射影,0.25,切断,学習文,5,0.8933314639999999,0.09019487781313429,39.0,3.521363372331802,31.4,2.6532998322843198,0.24521915400000002,0.14899487713000775,0.134718108,0.04117678263119711
異なる射影,0.25,切断,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.24521915400000002,0.14899487713000775,0.134718108,0.04117678263119711
異なる射影,0.25,切断,類似文,5,0.8726397840000001,0.0970876287371557,33.2,3.249615361854384,24.4,2.939387691339814,0.24521915400000002,0.14899487713000775,0.134718108,0.04117678263119711
異なる射影,0.25,復元,学習文,5,1.0,0.0,40.8,4.214261501141095,33.8,3.3105890714493698,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,0.25,復元,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,0.25,復元,類似文,5,1.0,0.0,35.4,4.223742416388575,27.4,4.454211490264018,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,0.5,切断,学習文,5,0.8066351860000001,0.11927045039936751,38.0,2.6832815729997477,29.8,1.4696938456699067,0.206978902,0.14750308398658768,0.14210404199999999,0.04176900879462686
異なる射影,0.5,切断,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.206978902,0.14750308398658768,0.14210404199999999,0.04176900879462686
異なる射影,0.5,切断,類似文,5,0.7802390260000001,0.14447470493407882,32.4,3.006659275674582,23.2,2.6381811916545836,0.206978902,0.14750308398658768,0.14210404199999999,0.04176900879462686
異なる射影,0.5,復元,学習文,5,1.0,0.0,40.8,4.214261501141095,33.8,3.3105890714493698,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,0.5,復元,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,0.5,復元,類似文,5,1.0,0.0,35.4,4.223742416388575,27.4,4.454211490264018,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,0.75,切断,学習文,5,0.742892052,0.14990177612257774,36.4,1.9595917942265426,28.2,1.16619037896906,0.193353502,0.13581172961671792,0.146963492,0.044119580403578364
異なる射影,0.75,切断,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.193353502,0.13581172961671792,0.146963492,0.044119580403578364
異なる射影,0.75,切断,類似文,5,0.715378574,0.17740835561651436,30.8,2.6381811916545836,21.6,2.244994432064365,0.193353502,0.13581172961671792,0.146963492,0.044119580403578364
異なる射影,0.75,復元,学習文,5,1.0,0.0,40.8,4.214261501141095,33.8,3.3105890714493698,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786
異なる射影,0.75,復元,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786
異なる射影,0.75,復元,類似文,5,0.9843703699999999,0.03125925999999999,35.0,4.33589667773576,27.0,4.560701700396552,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786
異なる射影,1.0,切断,学習文,5,0.71622075,0.16282733773580196,35.8,1.4696938456699067,27.4,0.4898979485566356,0.175859232,0.12429560277483212,0.14906347199999997,0.04389806551698395
異なる射影,1.0,切断,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.175859232,0.12429560277483212,0.14906347199999997,0.04389806551698395
異なる射影,1.0,切断,類似文,5,0.6917320520000001,0.19121143335370855,30.2,3.059411708155671,20.8,2.6381811916545836,0.175859232,0.12429560277483212,0.14906347199999997,0.04389806551698395
異なる射影,1.0,復元,学習文,5,1.0,0.0,40.8,4.214261501141095,33.8,3.3105890714493698,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,1.0,復元,無関係文,5,1.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
異なる射影,1.0,復元,類似文,5,1.0,0.0,35.4,4.223742416388575,27.4,4.454211490264018,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786
