group,parent_k,child_k,n,split_purity_mean,split_purity_std,agreement_mean,agreement_std
固定射影,2,3,6,0.9835526315789473,0.01554544613898886,0.7217235970721506,0.02437512082630922
固定射影,3,4,6,0.9155701754385964,0.04420097449725082,0.8065673289183223,0.036049649684437406
固定射影,4,5,6,0.8289473684210527,0.0770982273300305,0.7972725688393169,0.07271130085502327
固定射影,5,6,6,0.849780701754386,0.0858980338670346,0.8577175554780992,0.0654242178169941
固定射影,6,7,6,0.8015350877192983,0.06572548057300748,0.8539996514464971,0.027100490156543533
固定射影,7,8,6,0.7335526315789473,0.01730233973471439,0.8607964447542699,0.02958202408305231
異なる射影,2,3,6,0.9361744371615539,0.06139892787779775,0.7097723849816612,0.053284672426856965
異なる射影,3,4,6,0.9163441383989069,0.0688199475301518,0.841983708754265,0.06923203444334532
異なる射影,4,5,6,0.8614828012630653,0.0535030997020214,0.8089147098534651,0.03573383815272435
異なる射影,5,6,6,0.7754747221531776,0.09922748106761929,0.8177371483811848,0.06981752055586585
異なる射影,6,7,6,0.7622887491541994,0.054480732884681526,0.8318914243090184,0.04320363370358855
異なる射影,7,8,6,0.7967277001189218,0.03906389764931243,0.8779315868899252,0.02767164055595407
