group,trial,function_type,present,edge_count,centroid_similarity,signature_similarity,role_match,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,drop_0,drop_1,drop_2,drop_3
固定射影,7,雨中心クラスタ,1,34,0.9796783145100715,0.9958539053494225,1.0,0.0,0.17647058823529413,0.20588235294117646,0.5588235294117647,0.4117647058823529,0.5,0.14705882352941177,0.9117647058823529,0.0,0.0,0.13181818181818183,0.818939393939394,0.0,0.0
固定射影,8,雨中心クラスタ,1,50,0.9794006000585861,0.9904655887269204,1.0,0.11714770797962648,0.0967741935483871,0.18421052631578946,0.4219015280135824,0.3556876061120543,0.5,0.13157894736842105,0.7258064516129032,0.06451612903225806,0.0,0.13181818181818183,0.875,0.12138888888888888,0.0
固定射影,1,曖昧・橋渡しクラスタ,1,23,0.8778684205145062,0.9153928855605954,1.0,0.21739130434782608,0.0,0.08695652173913043,0.0,0.0,0.0,0.43478260869565216,0.391304347826087,0.4782608695652174,0.0,0.271969696969697,0.2439393939393939,0.2763888888888889,0.0
固定射影,2,曖昧・橋渡しクラスタ,1,18,0.9474107411393893,0.9133532654727795,1.0,0.5,0.1111111111111111,0.0,0.2777777777777778,0.0,0.2222222222222222,0.1111111111111111,0.0,1.0,0.0,0.05606060606060592,0.0,0.4494444444444444,0.0
固定射影,3,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,4,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,5,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,6,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,7,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,8,曖昧・橋渡しクラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,1,混合・補助クラスタ,1,68,0.9217476818403371,0.9426943805587431,1.0,0.09980237154150198,0.5,0.09782608695652174,0.0,0.11956521739130435,0.07608695652173914,0.010869565217391304,0.0,0.045454545454545456,0.20652173913043478,0.028030303030303072,0.0,0.05166666666666664,0.8551724137931035
固定射影,2,混合・補助クラスタ,1,67,0.9249728481818439,0.9623281532982491,1.0,0.11940298507462686,0.29850746268656714,0.16417910447761194,0.0,0.0,0.1044776119402985,0.13432835820895522,0.13432835820895522,0.0,0.26865671641791045,0.2439393939393939,0.2439393939393939,0.0,0.8551724137931035
固定射影,3,混合・補助クラスタ,1,51,0.6910828777499429,0.99259409060382,1.0,0.19607843137254902,0.0,0.21568627450980393,0.0,0.0,0.0,0.21568627450980393,0.17647058823529413,0.21568627450980393,0.35294117647058826,0.30000000000000004,0.2439393939393939,0.2763888888888889,0.8551724137931035
固定射影,4,混合・補助クラスタ,1,86,0.8960548257443511,0.9729555567232854,1.0,0.09232954545454546,0.5,0.0703125,0.0234375,0.109375,0.1015625,0.03125,0.0,0.13139204545454547,0.140625,0.11212121212121207,0.0,0.32805555555555554,0.8551724137931035
固定射影,5,混合・補助クラスタ,1,93,0.9822030507676153,0.9532418649820963,1.0,0.09744203165255798,0.3333333333333333,0.12483130904183536,0.04487179487179487,0.14574898785425103,0.0,0.0752361673414305,0.12179487179487179,0.08799533799533799,0.3333333333333333,0.271969696969697,0.49924242424242427,0.2841666666666667,0.8551724137931035
固定射影,6,混合・補助クラスタ,1,101,0.9939239083904412,0.9772532285799668,1.0,0.10983519404572036,0.3333333333333333,0.11286549707602339,0.011111111111111112,0.1286549707602339,0.05555555555555555,0.07309941520467836,0.07777777777777778,0.0914141414141414,0.3333333333333333,0.30000000000000004,0.36742424242424243,0.32805555555555554,0.8551724137931035
固定射影,7,混合・補助クラスタ,1,89,0.8586186962825678,0.9866831367631475,1.0,0.09566250742721331,0.3333333333333333,0.05882352941176471,0.041666666666666664,0.3333333333333333,0.10825163398692811,0.0392156862745098,0.013071895424836602,0.10219845513963162,0.13848039215686275,0.1681818181818182,0.05606060606060592,0.32805555555555554,0.8551724137931035
固定射影,8,混合・補助クラスタ,1,77,0.9415479704237303,0.9770225826734957,1.0,0.11689291101055807,0.21568627450980393,0.17307692307692307,0.0196078431372549,0.13687782805429866,0.0,0.06825037707390649,0.0,0.12745098039215685,0.36538461538461536,0.1681818181818182,0.0,0.32805555555555554,0.8551724137931035
