probe_text,checkpoint,trial_count,embedding_similarity_mean,embedding_similarity_std,embedding_similarity_min,embedding_similarity_max,core_overlap_mean,core_overlap_std,core_overlap_min,core_overlap_max,node_overlap_mean,node_overlap_std,node_overlap_min,node_overlap_max,edge_overlap_mean,edge_overlap_std,edge_overlap_min,edge_overlap_max,reference_nodes_mean,reference_nodes_std,reference_nodes_min,reference_nodes_max,reference_edges_mean,reference_edges_std,reference_edges_min,reference_edges_max,probe_nodes_mean,probe_nodes_std,probe_nodes_min,probe_nodes_max,probe_edges_mean,probe_edges_std,probe_edges_min,probe_edges_max
今日の天気は最高だ,0,5,0.5888111032873542,0.0,0.5888111032873542,0.5888111032873542,0.15883211125351698,0.12012703107862457,0.005932203389830508,0.33953405017921146,0.16347766537891814,0.11040455322463438,0.01694915254237288,0.3111111111111111,0.1563306590321471,0.12738733333970054,0.0,0.3548387096774194,27.2,1.1661903789690602,26.0,29.0,19.8,0.7483314773547883,19.0,21.0,30.6,0.4898979485566356,30.0,31.0,21.4,0.8,21.0,23.0
今日の天気は最高だ,1,5,0.5888111032873542,0.0,0.5888111032873542,0.5888111032873542,0.15282160746550075,0.12978792882574133,0.005932203389830508,0.36827956989247307,0.15776335296710342,0.11338444803598909,0.01694915254237288,0.3333333333333333,0.15016066758002242,0.14060132472974793,0.0,0.3870967741935484,27.6,1.624807680927192,26.0,30.0,20.4,1.3564659966250536,18.0,22.0,30.2,0.7483314773547883,29.0,31.0,21.0,0.6324555320336759,20.0,22.0
今日の天気は最高だ,5,5,0.5888111032873542,0.0,0.5888111032873542,0.5888111032873542,0.17456834282822464,0.11603124197782692,0.011475409836065573,0.32166666666666666,0.17618381383078952,0.10549398299789282,0.03278688524590164,0.3,0.17369847382684353,0.12385740177601233,0.0,0.3333333333333333,30.0,1.7888543819998317,28.0,32.0,22.8,0.7483314773547883,22.0,24.0,31.8,0.7483314773547883,31.0,33.0,22.8,1.3266499161421599,21.0,25.0
今日の天気は最高だ,10,5,0.5888111032873542,0.0,0.5888111032873542,0.5888111032873542,0.17659609543102855,0.11167588543416261,0.0109375,0.3062246963562753,0.1793153421519932,0.10257708950276702,0.03125,0.28846153846153844,0.17513188565820145,0.11886313901236145,0.0,0.3157894736842105,31.8,2.7856776554368237,28.0,35.0,25.0,1.2649110640673518,23.0,27.0,32.2,0.7483314773547883,31.0,33.0,23.2,1.3266499161421599,21.0,25.0
今日の天気は最高だ,20,5,0.5888111032873542,0.0,0.5888111032873542,0.5888111032873542,0.20310480249691132,0.12852386597523588,0.010606060606060605,0.33044117647058824,0.20557321577245413,0.1173654544029673,0.030303030303030304,0.3050847457627119,0.20177565688700363,0.136128805902828,0.0,0.35,34.6,4.2708313008125245,29.0,41.0,27.8,2.6381811916545836,24.0,32.0,34.0,2.0976176963403033,31.0,36.0,25.2,3.1240998703626617,21.0,29.0
今日の天気は最高だ,50,5,0.5888111032873542,0.0,0.5888111032873542,0.5888111032873542,0.23770861801746296,0.1309304775580798,0.04558823529411765,0.35204565030146423,0.23167145669340578,0.12537396510252868,0.058823529411764705,0.37254901960784315,0.24095939719195533,0.13517061204011882,0.038461538461538464,0.37209302325581395,38.8,4.707440918375928,32.0,45.0,32.4,2.4166091947189146,29.0,36.0,35.6,3.4409301068170506,30.0,40.0,26.8,4.308131845707603,20.0,32.0
犬は公園を走っている,0,5,0.21107972683001375,0.0,0.21107972683001375,0.21107972683001375,0.06794666066910357,0.04530320284293323,0.0,0.14066802651708313,0.07649665698183218,0.0537947619078412,0.0,0.1509433962264151,0.06334281650071125,0.044051589800777564,0.0,0.13513513513513514,27.2,1.1661903789690602,26.0,29.0,19.8,0.7483314773547883,19.0,21.0,30.8,1.1661903789690602,29.0,32.0,22.0,1.0954451150103321,20.0,23.0
犬は公園を走っている,1,5,0.21107972683001375,0.0,0.21107972683001375,0.21107972683001375,0.07181640815876168,0.052371990633537716,0.0,0.16206554121151936,0.08008948696989553,0.05935404029991148,0.0,0.16981132075471697,0.06736167341430499,0.05151253164570397,0.0,0.15789473684210525,27.6,1.624807680927192,26.0,30.0,20.4,1.3564659966250536,18.0,22.0,31.0,1.4142135623730951,29.0,33.0,22.2,1.1661903789690602,20.0,23.0
犬は公園を走っている,5,5,0.21107972683001375,0.0,0.21107972683001375,0.21107972683001375,0.08837008073994687,0.07342590060807956,0.0,0.21625,0.0879652995037875,0.07128855296632082,0.0,0.2,0.08858803986710964,0.07569830686270408,0.0,0.225,30.0,1.7888543819998317,28.0,32.0,22.8,0.7483314773547883,22.0,24.0,31.4,1.4966629547095767,30.0,34.0,23.0,1.0954451150103321,22.0,25.0
犬は公園を走っている,10,5,0.21107972683001375,0.0,0.21107972683001375,0.21107972683001375,0.09576866085091588,0.07187827130797261,0.0,0.21891371340523885,0.09463167873428893,0.07041833178926414,0.0,0.2033898305084746,0.09638088199063809,0.07385751059428433,0.0,0.22727272727272727,31.8,2.7856776554368237,28.0,35.0,25.0,1.2649110640673518,23.0,27.0,32.0,2.1908902300206643,30.0,36.0,23.6,1.8547236990991407,22.0,27.0
犬は公園を走っている,20,5,0.21107972683001375,0.0,0.21107972683001375,0.21107972683001375,0.10284068627450979,0.07708003886126384,0.0,0.22118055555555555,0.09813258636788048,0.07473513825616905,0.0,0.20634920634920634,0.10537581699346406,0.07856015434845957,0.0,0.22916666666666666,34.6,4.2708313008125245,29.0,41.0,27.8,2.6381811916545836,24.0,32.0,32.2,3.4871191548325386,30.0,39.0,23.8,3.1240998703626617,22.0,30.0
犬は公園を走っている,50,5,0.21107972683001375,0.0,0.21107972683001375,0.21107972683001375,0.11356298974220405,0.08401010638373117,0.0,0.24523172905525847,0.10725512561041865,0.08041855533621166,0.0,0.22727272727272727,0.11695953196701156,0.08625860187310118,0.0,0.2549019607843137,38.8,4.707440918375928,32.0,45.0,32.4,2.4166091947189146,29.0,36.0,31.2,4.019950248448356,28.0,39.0,22.2,4.019950248448356,19.0,30.0
