group,order,probe_label,trials,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,ambiguous_affinity_mean,ambiguous_affinity_std,sunny_margin_mean,sunny_margin_std,rainy_margin_mean,rainy_margin_std,confidence_gap_mean,confidence_gap_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std
異なる射影,晴れ→雨→曖昧,雨でも明るい,4,0.20236566250000002,0.057555486992205356,0.2972503,0.05117650538757165,0.263029575,0.058850447765583964,-0.0948846375,0.03148217949553952,0.0948846375,0.03148217949553952,0.0948846375,0.03148217949553952,46.5,2.692582403567252,40.25,1.7853571071357126
異なる射影,晴れ→雨→曖昧,雨上がりの日差し,4,0.2172947525,0.11419936857989021,0.24066671499999998,0.10388129451388697,0.195994475,0.10015362547704414,-0.02337196,0.06278103555009308,0.02337196,0.06278103555009308,0.05531715500000001,0.037785173040355724,47.0,5.0990195135927845,38.75,5.356071321407137
異なる射影,曖昧→晴れ→雨,晴れだが冷たい,4,0.1681400775,0.08368906688488241,0.25234794,0.09523422394265178,0.212752295,0.05071748199616653,-0.08420786250000001,0.0410153952347569,0.08420786250000001,0.0410153952347569,0.08420786250000001,0.0410153952347569,44.0,8.631338250816034,37.75,8.257572282456872
異なる射影,曖昧→晴れ→雨,暗いが降らない,4,0.14014441500000002,0.054673371606887615,0.2046878525,0.07761977009694031,0.2230755325,0.02955079679430859,-0.06454343500000001,0.03094854303149221,0.06454343500000001,0.03094854303149221,0.06454343500000001,0.03094854303149221,44.75,3.6996621467371855,37.25,4.02336923485777
異なる射影,曖昧→晴れ→雨,曇りだが暖かい,4,0.157171575,0.048853268972103854,0.20708319749999998,0.03981024506360539,0.141372135,0.05314731383393262,-0.049911620000000004,0.024074534985815407,0.049911620000000004,0.024074534985815407,0.049911620000000004,0.024074534985815407,39.75,3.344772040064913,32.75,2.5860201081971503
異なる射影,曖昧→晴れ→雨,遠い対照,4,0.0420857375,0.025401996259417657,0.0506128375,0.043754550539606946,0.1569441875,0.09111009711722225,-0.0085270975,0.03376871724943914,0.0085270975,0.03376871724943914,0.0304090425,0.016980217627588546,35.25,4.763139720814412,26.0,5.049752469181039
異なる射影,曖昧→晴れ→雨,雨でも明るい,4,0.21219923499999999,0.06636248429094954,0.294627765,0.051351128940119964,0.25086612999999996,0.060812442021286654,-0.08242852999999999,0.02610847578571564,0.08242852999999999,0.02610847578571564,0.08242852999999999,0.02610847578571564,45.25,2.384848003542364,39.25,1.479019945774904
異なる射影,曖昧→晴れ→雨,雨上がりの日差し,4,0.21730894,0.11790664959984976,0.2446771475,0.09433697860621582,0.191549785,0.08915074357523622,-0.027368204999999993,0.07267470470467922,0.027368204999999993,0.07267470470467922,0.072475215,0.027892195315860763,45.5,3.640054944640259,37.25,3.766629793329841
異なる射影,雨→晴れ→曖昧,晴れだが冷たい,4,0.15496533,0.07762119280665268,0.244281825,0.07811824081440982,0.2156380825,0.054160308666092526,-0.0893164925,0.03421178067760825,0.0893164925,0.03421178067760825,0.0893164925,0.03421178067760825,45.0,7.176350047203662,38.25,7.495832175282475
異なる射影,雨→晴れ→曖昧,暗いが降らない,4,0.1344487125,0.04554313948956878,0.20378786999999998,0.06343330050975277,0.22383654249999999,0.03575728506425744,-0.06933916,0.037086538619750566,0.06933916,0.037086538619750566,0.06933916,0.037086538619750566,44.25,3.112474899497183,37.0,3.6742346141747673
異なる射影,雨→晴れ→曖昧,曇りだが暖かい,4,0.151304,0.04161026108326347,0.2072804975,0.03710237433245774,0.149340925,0.05230159751286785,-0.0559764975,0.014860808748902894,0.0559764975,0.014860808748902894,0.0559764975,0.014860808748902894,40.5,2.8722813232690143,33.75,2.680951323690902
異なる射影,雨→晴れ→曖昧,遠い対照,4,0.045541415,0.022535490446904522,0.0567801825,0.03953056571327836,0.16480562499999998,0.08673442989717764,-0.011238762500000004,0.03763322479570039,0.011238762500000004,0.03763322479570039,0.0355116325,0.01677776350530871,36.0,4.527692569068709,27.0,4.636809247747852
異なる射影,雨→晴れ→曖昧,雨でも明るい,4,0.19414402249999999,0.05438553845583463,0.269512545,0.041973121399958756,0.2540673775,0.06465541493118745,-0.075368525,0.03885555348068568,0.075368525,0.03885555348068568,0.075368525,0.03885555348068568,45.75,2.947456530637899,39.0,1.8708286933869707
異なる射影,雨→晴れ→曖昧,雨上がりの日差し,4,0.2098058525,0.10631340373416616,0.23812232500000002,0.08444565930727242,0.20588508,0.1001995090732048,-0.028316475000000004,0.0734879899254771,0.028316475000000004,0.0734879899254771,0.07529674,0.023080475841824624,47.5,6.576473218982953,39.0,6.59545297913646
