order,probe,trials,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,margin_mean,margin_std,edge_count_mean,edge_count_std
晴れ→雨→曖昧,晴れ未経験,6,0.27960201833333337,0.0977021681910851,0.12230426833333334,0.06399270928342395,0.15729775166666668,0.1331439371402589,35.166666666666664,3.8477987935383986
晴れ→雨→曖昧,曖昧天気,6,0.18341470666666668,0.047411495484880266,0.20459936166666667,0.026208925133676897,-0.021184656666666666,0.05976948169941626,33.333333333333336,2.4267032964268394
晴れ→雨→曖昧,遠い対照,6,0.044991148333333335,0.020937958108116637,0.040723405,0.039810216035374116,0.004267743333333333,0.036968538842620705,24.333333333333332,4.749268949591669
晴れ→雨→曖昧,雨未経験,6,0.11097844499999998,0.05446434110173026,0.27449756833333333,0.04688212656995074,-0.16351912166666668,0.025939827002724607,38.333333333333336,5.467073155618908
曖昧→晴れ→雨,晴れ未経験,6,0.28614796833333334,0.11426809240356067,0.12513270166666668,0.06945295329541584,0.16101526833333335,0.14376434195501742,35.0,3.9157800414902435
曖昧→晴れ→雨,曖昧天気,6,0.18442259833333333,0.045712026139220895,0.20508065666666667,0.021094823003209164,-0.020658056666666664,0.05552326031762805,33.166666666666664,4.297932319409209
曖昧→晴れ→雨,遠い対照,6,0.039791251666666666,0.02079805357425258,0.03841509666666667,0.039395914084047544,0.001376156666666668,0.029995158574431455,23.833333333333332,5.112620550059322
曖昧→晴れ→雨,雨未経験,6,0.11896444666666667,0.07017714634161697,0.2817453233333333,0.05622243425363481,-0.16278088166666668,0.0384332877134572,40.166666666666664,5.177408189003023
雨→晴れ→曖昧,晴れ未経験,6,0.2699605666666667,0.10751993634122073,0.11916284833333333,0.06113253268301867,0.15079772500000002,0.1392960527857176,34.666666666666664,3.72677996249965
雨→晴れ→曖昧,曖昧天気,6,0.18159298499999998,0.04682967855087759,0.2075764516666667,0.033210840735099535,-0.025983466666666667,0.06631971532854883,34.333333333333336,2.748737083745107
雨→晴れ→曖昧,遠い対照,6,0.04077119666666667,0.018728680142002057,0.042363235,0.03790957291408498,-0.0015920350000000014,0.03200912005654105,24.166666666666668,5.30461015427985
雨→晴れ→曖昧,雨未経験,6,0.11746978500000001,0.051287055295067635,0.27244113000000003,0.04397860432244297,-0.154971345,0.0364714326211533,39.333333333333336,6.0736223860962
