group,condition,probe_label,trials,route_retention_mean,route_retention_std,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,affinity_margin_mean,affinity_margin_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,cut_edge_count_mean,cut_edge_count_std
異なる射影,天気幹線切断,雨未経験,5,0.902546948,0.12497496564800206,0.14638942000000002,0.03682565273628534,0.250670156,0.08206433626641858,-0.10428073600000001,0.06837594539056482,42.0,6.54217089351845,35.0,7.4565407529228995,3.0,3.794733192202055
異なる射影,晴れ枝切断,晴れ未経験,5,0.94616738,0.04849041627874977,0.242649622,0.1027114287455645,0.210014902,0.09327602959779761,0.032634722,0.0758938295349026,39.0,4.242640687119285,31.4,3.9293765408777,7.8,2.3151673805580453
異なる射影,晴れ枝切断,曖昧天気,5,0.98008658,0.0326437501554653,0.201238922,0.1011123711316528,0.24839796400000003,0.04826130828244573,-0.047159042000000005,0.059268347243522625,41.6,3.97994974842648,34.6,4.31740662898458,7.8,2.3151673805580453
異なる射影,晴れ枝切断,無関係,5,0.955278274,0.055094935180974906,0.04262694,0.026190434920762964,0.04375074799999999,0.030444937140238867,-0.0011238120000000012,0.021047811731569055,29.0,3.286335345030997,19.4,3.2619012860600183,7.8,2.3151673805580453
異なる射影,晴れ枝切断,雨未経験,5,0.9798399059999999,0.030056662994340278,0.19088326800000002,0.0545198634607657,0.31478755999999997,0.0440472539901202,-0.12390429,0.04958656884639993,44.2,4.4,37.2,5.114684741017769,7.8,2.3151673805580453
異なる射影,無処置,晴れ未経験,5,1.0,0.0,0.25177924799999996,0.1026376968687506,0.19589795999999998,0.08092793755011603,0.05588128999999999,0.06427326893171344,39.8,3.655133376499413,32.2,3.249615361854384,0.0,0.0
異なる射影,無処置,曖昧天気,5,1.0,0.0,0.211222042,0.10685917514366697,0.24682527599999998,0.04699530991011405,-0.03560323000000001,0.06568865032496465,41.8,3.9698866482558417,35.0,4.516635916254486,0.0,0.0
異なる射影,無処置,無関係,5,1.0,0.0,0.05329480600000001,0.036094531088345566,0.043059655999999995,0.02996101566921028,0.010235145999999999,0.03455495008972324,29.8,3.1874754901018454,20.6,3.7202150475476548,0.0,0.0
異なる射影,無処置,雨未経験,5,1.0,0.0,0.19941707000000003,0.06121457758058254,0.310956784,0.04416131516641216,-0.111539714,0.0598706571774687,45.0,4.33589667773576,38.0,4.857983120596447,0.0,0.0
異なる射影,部分共有切断,晴れ未経験,5,0.53702253,0.04448821058805267,0.095028986,0.0529730990281866,0.078571266,0.04285949755438185,0.016457716,0.015725836967679145,29.8,1.9390719429665315,20.6,1.4966629547095764,44.8,7.025667228100119
異なる射影,部分共有切断,曖昧天気,5,0.530615396,0.11805603497872501,0.073563804,0.061352250625497554,0.093896338,0.06210002426888266,-0.020332529999999998,0.05258144348059494,31.2,2.7129319932501073,22.4,3.6110940170535577,44.8,7.025667228100119
異なる射影,部分共有切断,無関係,5,0.8320543300000001,0.12043859773704524,0.025449147999999998,0.024422134839453654,0.023345456000000004,0.020680108278024658,0.002103692,0.035985951691229395,26.8,1.8330302779823358,17.4,1.8547236990991407,44.8,7.025667228100119
異なる射影,部分共有切断,雨未経験,5,0.560930048,0.09448905939882425,0.075357406,0.05942715743452941,0.14610074,0.04333302796551056,-0.070743336,0.02831627193354775,34.2,2.4000000000000004,25.2,2.039607805437114,44.8,7.025667228100119
異なる射影,雨枝切断,晴れ未経験,5,0.966922196,0.066155608,0.249770724,0.1034375434771742,0.18268920000000002,0.0740009544036905,0.06708152599999999,0.0479782278344003,38.8,2.227105745132009,31.2,1.7204650534085253,5.6,3.7202150475476548
異なる射影,雨枝切断,曖昧天気,5,0.959948264,0.08010347200000001,0.212853556,0.10513944593992715,0.2354835,0.06145488773942004,-0.02262994,0.05665414474855198,40.8,4.621688003316537,33.8,5.5641710972974225,5.6,3.7202150475476548
異なる射影,雨枝切断,無関係,5,1.0,0.0,0.05329480600000001,0.036094531088345566,0.043059655999999995,0.02996101566921028,0.010235145999999999,0.03455495008972324,29.8,3.1874754901018454,20.6,3.7202150475476548,5.6,3.7202150475476548
異なる射影,雨枝切断,雨未経験,5,0.9246484819999999,0.1188761294278666,0.19597676800000002,0.06370542444436907,0.272034804,0.04459361865182892,-0.076058034,0.046812799267139577,42.6,2.4166091947189146,35.6,2.4166091947189146,5.6,3.7202150475476548
