group,trial,projection_seed,condition,probe_label,probe_text,cut_edge_count,route_retention,sunny_affinity,rainy_affinity,affinity_margin,node_count,edge_count
固定射影,2,20260804,ランダム同数,曖昧天気,今日は天気が変わりやすい,17,0.77527778,0.21200361,0.12217187,0.08983174,38,29
固定射影,2,20260804,ランダム同数,無関係,会計ソフトが請求書を処理する,17,0.95372051,0.0209366,0.00997145,0.01096515,28,18
固定射影,3,20260804,無処置,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,3,20260804,無処置,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,3,20260804,無処置,曖昧天気,今日は天気が変わりやすい,0,1.0,0.315874,0.16392125,0.15195276,45,36
固定射影,3,20260804,無処置,無関係,会計ソフトが請求書を処理する,0,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,3,20260804,天気幹線切断,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,3,20260804,天気幹線切断,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,3,20260804,天気幹線切断,曖昧天気,今日は天気が変わりやすい,0,1.0,0.315874,0.16392125,0.15195276,45,36
固定射影,3,20260804,天気幹線切断,無関係,会計ソフトが請求書を処理する,0,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,3,20260804,晴れ枝切断,晴れ未経験,よく晴れた穏やかな日だ,10,0.74469697,0.2286864,0.09776772,0.13091868,36,27
固定射影,3,20260804,晴れ枝切断,雨未経験,雨雲が広がって寒く感じる,10,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,3,20260804,晴れ枝切断,曖昧天気,今日は天気が変わりやすい,10,0.85277778,0.2648571,0.17515336,0.08970374,41,32
固定射影,3,20260804,晴れ枝切断,無関係,会計ソフトが請求書を処理する,10,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,3,20260804,雨枝切断,晴れ未経験,よく晴れた穏やかな日だ,17,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,3,20260804,雨枝切断,雨未経験,雨雲が広がって寒く感じる,17,0.76439394,0.08089656,0.17761461,-0.09671805,36,27
