group,condition,trials,train_retention_mean,train_retention_std,similar_retention_mean,similar_retention_std,unrelated_retention_mean,unrelated_retention_std,train_similar_overlap_mean,train_similar_overlap_std,train_unrelated_overlap_mean,train_unrelated_overlap_std,train_edges_mean,train_edges_std,similar_edges_mean,similar_edges_std,unrelated_edges_mean,unrelated_edges_std
固定射影,ランダム25%,5,0.8966666699999999,1.1102230246251565e-16,0.816493422,0.02052300108853614,1.0,0.0,0.312069072,0.005985876872193085,0.052500000000000005,6.938893903907228e-18,35.0,0.0,26.8,0.9797958971132712,20.0,0.0
固定射影,使用頻度上位25%,5,0.79333333,0.0,0.67736184,0.009553548884597831,1.0,0.0,0.25853059,0.004655159999999992,0.05764321,0.0,30.0,0.0,22.6,0.7999999999999999,20.0,0.0
固定射影,因果上位25%,5,0.79333333,0.0,0.66573684,0.018968195783742838,1.0,0.0,0.26085817,0.005701383335507259,0.05764321,0.0,30.0,0.0,22.2,0.9797958971132713,20.0,0.0
固定射影,無処置,5,1.0,0.0,1.0,0.0,1.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0,36.0,0.0,30.8,0.9797958971132713,20.0,0.0
異なる射影,ランダム25%,5,0.9242680160000001,0.04731721992771958,0.9081802760000001,0.05075677045125965,1.0,0.0,0.249781266,0.16866436278027372,0.13285922,0.04265411964027766,33.2,3.7094473981982814,25.8,4.915282290977803,22.8,1.8330302779823362
異なる射影,使用頻度上位25%,5,0.8686016760000002,0.08970337163832151,0.8371818839999999,0.1028770926494054,1.0,0.0,0.22085896,0.14819629512555527,0.13930279,0.045681593309769314,30.2,2.7129319932501073,23.6,3.2,22.8,1.8330302779823362
異なる射影,因果上位25%,5,0.8771032040000002,0.07475560638073657,0.8592576,0.08288524084536955,1.0,0.0,0.23548686599999996,0.15316983203956666,0.14039686199999998,0.04469825177366444,30.2,2.2271057451320084,24.4,2.939387691339814,22.8,1.8330302779823362
異なる射影,無処置,5,1.0,0.0,1.0,0.0,1.0,0.0,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786,33.8,3.3105890714493698,27.0,4.560701700396552,22.8,1.8330302779823362
