group,checkpoint,entity_type,role,trials,count_mean,count_std,share_mean,share_std
固定射影,20,Node,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,20,Node,学習・類似共有,5,16.2,0.9797958971132713,0.19119601,0.013698697901822637
固定射影,20,Node,学習文専用,5,21.8,0.9797958971132713,0.256976744,0.008544731433012029
固定射影,20,Node,無関係文専用,5,27.0,0.0,0.318438538,0.0036620263572967474
固定射影,20,Node,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,20,Node,類似文専用,5,16.8,0.9797958971132713,0.198006646,0.00922288736524003
固定射影,50,Edge,全共有幹線,5,3.0,0.0,0.044385030000000006,0.0005347600000000009
固定射影,50,Edge,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,50,Edge,学習・類似共有,5,14.0,0.0,0.207130122,0.002495544000000005
固定射影,50,Edge,学習文専用,5,19.0,0.0,0.281105166,0.0033868119999999947
固定射影,50,Edge,無関係文専用,5,17.0,0.0,0.25151515199999996,0.0030303039999999945
固定射影,50,Edge,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,50,Edge,類似文専用,5,14.6,0.7999999999999999,0.21586453199999997,0.009447415999999998
固定射影,50,Node,全共有幹線,5,3.0,0.0,0.033115198000000005,0.00029633599999999985
固定射影,50,Node,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,50,Node,学習・類似共有,5,17.0,0.0,0.18765279999999998,0.0016792200000000034
固定射影,50,Node,学習文専用,5,25.0,0.0,0.27595999200000004,0.002469443999999998
固定射影,50,Node,無関係文専用,5,26.0,0.0,0.28699839800000004,0.0025682160000000116
固定射影,50,Node,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,50,Node,類似文専用,5,19.6,0.7999999999999999,0.21627361399999998,0.007013212000000002
異なる射影,0,Edge,全共有幹線,5,1.0,1.2649110640673518,0.019457014,0.02468449218376396
異なる射影,0,Edge,学習・無関係共有,5,2.0,1.8973665961010275,0.03709956600000001,0.03406278475948119
異なる射影,0,Edge,学習・類似共有,5,5.0,4.732863826479693,0.10002811,0.09970752846002012
異なる射影,0,Edge,学習文専用,5,12.4,3.3823069050575527,0.23424213200000002,0.056989052512497654
異なる射影,0,Edge,無関係文専用,5,16.8,1.1661903789690602,0.32223110200000005,0.034931757161601476
異なる射影,0,Edge,類似・無関係共有,5,1.0,0.8944271909999159,0.018756734,0.01661440704393341
異なる射影,0,Edge,類似文専用,5,14.2,3.4871191548325386,0.268185344,0.05450731927842925
異なる射影,0,Node,全共有幹線,5,1.8,1.9390719429665317,0.024927112,0.026693700573140022
異なる射影,0,Node,学習・無関係共有,5,3.2,2.1354156504062622,0.04328399200000001,0.027761645507389795
