group,trial,transition,k,partition_retention
異なる射影,1,雨追加後→曖昧追加後,3,0.78376613
異なる射影,1,雨追加後→曖昧追加後,4,0.74342642
異なる射影,1,雨追加後→曖昧追加後,5,0.7085579
異なる射影,1,雨追加後→曖昧追加後,6,0.77690675
異なる射影,1,雨追加後→曖昧追加後,7,0.79585171
異なる射影,1,雨追加後→曖昧追加後,8,0.84721542
異なる射影,2,初期→晴れ学習後,2,0.63629546
異なる射影,2,初期→晴れ学習後,3,0.72365954
異なる射影,2,初期→晴れ学習後,4,0.59180102
異なる射影,2,初期→晴れ学習後,5,0.67079115
異なる射影,2,初期→晴れ学習後,6,0.66204224
異なる射影,2,初期→晴れ学習後,7,0.84514436
異なる射影,2,初期→晴れ学習後,8,0.74465692
異なる射影,2,晴れ学習後→雨追加後,2,0.71870383
異なる射影,2,晴れ学習後→雨追加後,3,0.68817098
異なる射影,2,晴れ学習後→雨追加後,4,0.66502512
異なる射影,2,晴れ学習後→雨追加後,5,0.74785778
異なる射影,2,晴れ学習後→雨追加後,6,0.71584753
異なる射影,2,晴れ学習後→雨追加後,7,0.85088151
異なる射影,2,晴れ学習後→雨追加後,8,0.78351226
異なる射影,2,雨追加後→曖昧追加後,2,0.86059081
異なる射影,2,雨追加後→曖昧追加後,3,0.65827975
異なる射影,2,雨追加後→曖昧追加後,4,0.76414127
異なる射影,2,雨追加後→曖昧追加後,5,0.74429224
異なる射影,2,雨追加後→曖昧追加後,6,0.75426335
異なる射影,2,雨追加後→曖昧追加後,7,0.79554562
異なる射影,2,雨追加後→曖昧追加後,8,0.76805517
異なる射影,3,初期→晴れ学習後,2,0.84417141
異なる射影,3,初期→晴れ学習後,3,0.89541504
異なる射影,3,初期→晴れ学習後,4,0.67875337
異なる射影,3,初期→晴れ学習後,5,0.5965438
異なる射影,3,初期→晴れ学習後,6,0.71830986
異なる射影,3,初期→晴れ学習後,7,0.66686645
異なる射影,3,初期→晴れ学習後,8,0.75317151
異なる射影,3,晴れ学習後→雨追加後,2,0.92509426
異なる射影,3,晴れ学習後→雨追加後,3,0.6516129
異なる射影,3,晴れ学習後→雨追加後,4,0.69015501
異なる射影,3,晴れ学習後→雨追加後,5,0.77402597
異なる射影,3,晴れ学習後→雨追加後,6,0.65940511
異なる射影,3,晴れ学習後→雨追加後,7,0.73238375
異なる射影,3,晴れ学習後→雨追加後,8,0.78516967
異なる射影,3,雨追加後→曖昧追加後,2,0.85395418
異なる射影,3,雨追加後→曖昧追加後,3,0.6917221
異なる射影,3,雨追加後→曖昧追加後,4,0.72298596
異なる射影,3,雨追加後→曖昧追加後,5,0.75513673
異なる射影,3,雨追加後→曖昧追加後,6,0.69194383
異なる射影,3,雨追加後→曖昧追加後,7,0.76474501
異なる射影,3,雨追加後→曖昧追加後,8,0.79460458
異なる射影,4,初期→晴れ学習後,2,0.7045221
異なる射影,4,初期→晴れ学習後,3,0.54008222
異なる射影,4,初期→晴れ学習後,4,0.6299075
異なる射影,4,初期→晴れ学習後,5,0.61140802
異なる射影,4,初期→晴れ学習後,6,0.6672148
異なる射影,4,初期→晴れ学習後,7,0.77533402
異なる射影,4,初期→晴れ学習後,8,0.75005139
異なる射影,4,晴れ学習後→雨追加後,2,0.92268456
異なる射影,4,晴れ学習後→雨追加後,3,0.83033557
異なる射影,4,晴れ学習後→雨追加後,4,0.59310962
異なる射影,4,晴れ学習後→雨追加後,5,0.70308725
異なる射影,4,晴れ学習後→雨追加後,6,0.69002237
異なる射影,4,晴れ学習後→雨追加後,7,0.77977629
異なる射影,4,晴れ学習後→雨追加後,8,0.77941834
異なる射影,4,雨追加後→曖昧追加後,2,0.94190191
異なる射影,4,雨追加後→曖昧追加後,3,0.61398631
異なる射影,4,雨追加後→曖昧追加後,4,0.62810094
異なる射影,4,雨追加後→曖昧追加後,5,0.68042486
異なる射影,4,雨追加後→曖昧追加後,6,0.71300257
異なる射影,4,雨追加後→曖昧追加後,7,0.74700599
異なる射影,4,雨追加後→曖昧追加後,8,0.81950385
