group,trial,stage,stage_index,label,sunny_affinity,rainy_affinity,sunny_margin
異なる射影,1,曖昧追加後,3,雨未経験,0.16191195,0.28068847,-0.11877652
異なる射影,1,曖昧追加後,3,曖昧天気,0.06847395,0.11642988,-0.04795593
異なる射影,1,曖昧追加後,3,遠い対照,0.05220017,0.10619166,-0.05399149
異なる射影,2,初期,0,晴れ未経験,0.13431051,0.19496765,-0.06065714
異なる射影,2,初期,0,雨未経験,0.0478718,0.25454194,-0.20667014
異なる射影,2,初期,0,曖昧天気,0.04809352,0.14584111,-0.09774759
異なる射影,2,初期,0,遠い対照,0.0,0.02232906,-0.02232906
異なる射影,2,晴れ学習後,1,晴れ未経験,0.18387173,0.20953482,-0.02566309
異なる射影,2,晴れ学習後,1,雨未経験,0.1124008,0.29497446,-0.18257366
異なる射影,2,晴れ学習後,1,曖昧天気,0.05620044,0.14781157,-0.09161113
異なる射影,2,晴れ学習後,1,遠い対照,0.0,0.00614035,-0.00614035
異なる射影,2,雨追加後,2,晴れ未経験,0.21476403,0.26293965,-0.04817562
異なる射影,2,雨追加後,2,雨未経験,0.17017556,0.37852457,-0.20834901
異なる射影,2,雨追加後,2,曖昧天気,0.10817236,0.17867607,-0.07050371
異なる射影,2,雨追加後,2,遠い対照,0.00786869,0.0158183,-0.00794961
異なる射影,2,曖昧追加後,3,晴れ未経験,0.25318165,0.26049441,-0.00731276
異なる射影,2,曖昧追加後,3,雨未経験,0.20605437,0.37528734,-0.16923297
異なる射影,2,曖昧追加後,3,曖昧天気,0.1187638,0.16507084,-0.04630704
異なる射影,2,曖昧追加後,3,遠い対照,0.00162037,0.02509654,-0.02347617
異なる射影,3,初期,0,晴れ未経験,0.08713376,0.02650337,0.06063039
異なる射影,3,初期,0,雨未経験,0.08745031,0.20277894,-0.11532863
異なる射影,3,初期,0,曖昧天気,0.03582725,0.05518535,-0.0193581
異なる射影,3,初期,0,遠い対照,0.02446676,0.04054209,-0.01607533
異なる射影,3,晴れ学習後,1,晴れ未経験,0.20659207,0.075767,0.13082508
異なる射影,3,晴れ学習後,1,雨未経験,0.0986038,0.24825497,-0.14965117
異なる射影,3,晴れ学習後,1,曖昧天気,0.06196683,0.07072821,-0.00876138
異なる射影,3,晴れ学習後,1,遠い対照,0.03476825,0.04751087,-0.01274262
異なる射影,3,雨追加後,2,晴れ未経験,0.18633788,0.08844605,0.09789182
異なる射影,3,雨追加後,2,雨未経験,0.10070874,0.25285387,-0.15214513
異なる射影,3,雨追加後,2,曖昧天気,0.06655393,0.09264312,-0.02608919
異なる射影,3,雨追加後,2,遠い対照,0.04111208,0.05773181,-0.01661974
異なる射影,3,曖昧追加後,3,晴れ未経験,0.17065217,0.09284898,0.07780319
異なる射影,3,曖昧追加後,3,雨未経験,0.09949875,0.23789791,-0.13839915
異なる射影,3,曖昧追加後,3,曖昧天気,0.06809492,0.12025937,-0.05216445
異なる射影,3,曖昧追加後,3,遠い対照,0.07070063,0.08543246,-0.01473183
異なる射影,4,初期,0,晴れ未経験,0.15777335,0.11714389,0.04062946
異なる射影,4,初期,0,雨未経験,0.13830688,0.14763151,-0.00932463
異なる射影,4,初期,0,曖昧天気,0.09719405,0.1217397,-0.02454565
異なる射影,4,初期,0,遠い対照,0.03959738,0.0,0.03959738
異なる射影,4,晴れ学習後,1,晴れ未経験,0.37473746,0.31949783,0.05523962
異なる射影,4,晴れ学習後,1,雨未経験,0.22843799,0.33262876,-0.10419077
異なる射影,4,晴れ学習後,1,曖昧天気,0.17924661,0.18293782,-0.0036912
異なる射影,4,晴れ学習後,1,遠い対照,0.06210179,0.0,0.06210179
異なる射影,4,雨追加後,2,晴れ未経験,0.40288757,0.30056071,0.10232686
異なる射影,4,雨追加後,2,雨未経験,0.25555931,0.32224014,-0.06668083
異なる射影,4,雨追加後,2,曖昧天気,0.19837254,0.17736999,0.02100255
異なる射影,4,雨追加後,2,遠い対照,0.04768572,0.0,0.04768572
異なる射影,4,曖昧追加後,3,晴れ未経験,0.40738026,0.27917611,0.12820414
異なる射影,4,曖昧追加後,3,雨未経験,0.2594656,0.33262271,-0.07315711
異なる射影,4,曖昧追加後,3,曖昧天気,0.21001632,0.20558047,0.00443585
異なる射影,4,曖昧追加後,3,遠い対照,0.03900911,0.0,0.03900911
