transition,k,trials,partition_retention_mean,partition_retention_std
初期→晴れ学習後,2,8,0.8483976637499999,0.11937284663043453
初期→晴れ学習後,3,8,0.6953076037500001,0.09894250933371763
初期→晴れ学習後,4,8,0.6224536975,0.024958185216480962
初期→晴れ学習後,5,8,0.59745827625,0.045739606888508
初期→晴れ学習後,6,8,0.70540579125,0.02466158213647366
初期→晴れ学習後,7,8,0.77652932,0.04677075480242142
初期→晴れ学習後,8,8,0.73981673,0.043094889213343236
晴れ学習後→雨追加後,2,8,0.7607491375,0.09837462659562002
晴れ学習後→雨追加後,3,8,0.7806003137499999,0.08837365305956109
晴れ学習後→雨追加後,4,8,0.67726037875,0.046794399570573755
晴れ学習後→雨追加後,5,8,0.72423308375,0.02271951713491998
晴れ学習後→雨追加後,6,8,0.73662730375,0.03992996993372613
晴れ学習後→雨追加後,7,8,0.7924181374999999,0.030162823228661696
晴れ学習後→雨追加後,8,8,0.76801207625,0.036392576621439576
雨追加後→曖昧追加後,2,8,0.89348579875,0.035131258219877136
雨追加後→曖昧追加後,3,8,0.7619142812499999,0.08697174394468085
雨追加後→曖昧追加後,4,8,0.72916805375,0.0395612149562829
雨追加後→曖昧追加後,5,8,0.71088604125,0.023745199440772486
雨追加後→曖昧追加後,6,8,0.7484454975,0.027667347690613457
雨追加後→曖昧追加後,7,8,0.75737245125,0.023600998082785832
雨追加後→曖昧追加後,8,8,0.7722827975,0.04074037306088177
