stage,stage_index,label,trials,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,sunny_margin_mean,sunny_margin_std
初期,0,晴れ未経験,8,0.20338301749999999,0.07963502974671773,0.0924832225,0.0458382357053404,0.11089979375,0.10069493968643198
初期,0,曖昧天気,8,0.0782845375,0.03395441002475405,0.13770225625,0.05457891322840281,-0.0594177175,0.0293067148538653
初期,0,遠い対照,8,0.016106217500000002,0.015326076391340144,0.015123403750000002,0.01648569747690399,0.0009828137500000004,0.017100498227239563
初期,0,雨未経験,8,0.06104413125000001,0.033939143259081185,0.20111024,0.026904895489350548,-0.14006610875,0.05484925804267284
晴れ学習後,1,晴れ未経験,8,0.28815076875,0.0887697398832508,0.13602668125,0.07963564468456046,0.1521240875,0.11284723785544608
晴れ学習後,1,曖昧天気,8,0.12306007625000001,0.050386886592626697,0.155055115,0.05247749962511457,-0.031995037500000004,0.026448648167335866
晴れ学習後,1,遠い対照,8,0.038604521249999996,0.017101799107501408,0.01594326375,0.021535323435056028,0.022661257499999997,0.024796189409926856
晴れ学習後,1,雨未経験,8,0.1157329225,0.0540321299440418,0.24315776875,0.04693346883911935,-0.12742484625,0.028303654446704376
曖昧追加後,3,晴れ未経験,8,0.307032755,0.09745829679171292,0.13704932749999998,0.07822558419679022,0.1699834275,0.12398273835557501
曖昧追加後,3,曖昧天気,8,0.12292262375,0.04145300295895158,0.21906778999999998,0.0720035934400494,-0.09614516625,0.06281844156321134
曖昧追加後,3,遠い対照,8,0.044678905000000005,0.018294576548095475,0.0316933775,0.037928376537282656,0.0129855275,0.03539785502698919
曖昧追加後,3,雨未経験,8,0.12393393375,0.07116422997369078,0.27883066875,0.04605203068953975,-0.15489673375,0.03883459328315154
雨追加後,2,晴れ未経験,8,0.29808946125,0.09770854061255384,0.1403349525,0.08263387091486242,0.15775450875,0.12479457374435311
雨追加後,2,曖昧天気,8,0.10234248625,0.0401609617288048,0.2012684825,0.07631722948217276,-0.09892599125,0.07708389302493947
雨追加後,2,遠い対照,8,0.0314754125,0.013334140985137317,0.0239562075,0.026467784911034183,0.007519203749999999,0.022299944532789728
雨追加後,2,雨未経験,8,0.1279297225,0.06679585097260696,0.28750104625,0.03935607470246047,-0.15957132499999999,0.053666159946589014
