projection_group,trial,probe_label,probe_text,target_group,core_affinity,core_affinity_max,embedding_affinity,embedding_affinity_max,probe_nodes,probe_edges
固定射影,1,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.3632257212732291,0.4764318630678077,0.6168567010433418,0.6804265790425623,42,33
固定射影,1,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.0888391496936579,0.22384699453551915,0.459548303395285,0.4770476059702175,42,33
固定射影,1,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.0740922888128363,0.10308573540280858,0.4456778586956613,0.46984895627417095,42,33
固定射影,1,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.26789436068559963,0.2748627357364526,0.6288343922339845,0.7147147794754296,42,33
固定射影,1,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.31587400458267595,0.5287777777777778,0.5454139831898307,0.7183628692856321,45,36
固定射影,1,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.16392124677891914,0.35285396590066714,0.5185956954716922,0.6077165843586402,45,36
固定射影,1,無関係,犬が庭で遊んでいる,晴れ・快適,0.054271613022068066,0.07886002886002885,0.2318322624264729,0.24124731759893572,37,29
固定射影,1,無関係,犬が庭で遊んでいる,雨・不快,0.17144308582905077,0.23964912280701753,0.21600682412037306,0.2359439470347289,37,29
固定射影,2,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.3632257212732291,0.4764318630678077,0.6168539683252372,0.6804163445872361,42,33
固定射影,2,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.0888391496936579,0.22384699453551915,0.4596075145387042,0.47704853404556247,42,33
固定射影,2,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.0740922888128363,0.10308573540280858,0.44569586356172364,0.46984895627417095,42,33
固定射影,2,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.26789436068559963,0.2748627357364526,0.6288489297650132,0.7147355993849172,42,33
固定射影,2,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.31587400458267595,0.5287777777777778,0.5454395256613821,0.7183908586719797,45,36
固定射影,2,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.16392124677891914,0.35285396590066714,0.5186120399919742,0.6077426152545403,45,36
固定射影,2,無関係,犬が庭で遊んでいる,晴れ・快適,0.054271613022068066,0.07886002886002885,0.2318508529000338,0.24124731759893572,37,29
固定射影,2,無関係,犬が庭で遊んでいる,雨・不快,0.17144308582905077,0.23964912280701753,0.21601307824971047,0.23595923480212333,37,29
固定射影,3,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.3639705672591617,0.4764318630678077,0.6168632839810314,0.6804265790425623,42,33
固定射影,3,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.0888391496936579,0.22384699453551915,0.45958539429506406,0.4770476059702175,42,33
固定射影,3,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.06936913131190102,0.10308573540280858,0.4456927574794764,0.4698609443027249,42,33
固定射影,3,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.26789436068559963,0.2748627357364526,0.6288748215326861,0.7147635768738942,42,33
固定射影,3,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.3164099580061765,0.5287777777777778,0.5454367250186674,0.7183908586719797,45,36
固定射影,3,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.16392124677891914,0.35285396590066714,0.5186120399919742,0.6077426152545403,45,36
固定射影,3,無関係,犬が庭で遊んでいる,晴れ・快適,0.05466858133075114,0.0800509337860781,0.23184167414671855,0.24124731759893572,37,29
固定射影,3,無関係,犬が庭で遊んでいる,雨・不快,0.17144308582905077,0.23964912280701753,0.21601307824971047,0.23595923480212333,37,29
固定射影,4,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.3632257212732291,0.4764318630678077,0.6168795877608845,0.6804952391951902,42,33
固定射影,4,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.0888391496936579,0.22384699453551915,0.45958539429506406,0.4770476059702175,42,33
固定射影,4,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.0740922888128363,0.10308573540280858,0.44572133005772496,0.4698609443027249,42,33
固定射影,4,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.26789436068559963,0.2748627357364526,0.6288748215326861,0.7147635768738942,42,33
固定射影,4,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.31587400458267595,0.5287777777777778,0.5454527421066703,0.7183908586719797,45,36
固定射影,4,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.16392124677891914,0.35285396590066714,0.5186120399919742,0.6077426152545403,45,36
固定射影,4,無関係,犬が庭で遊んでいる,晴れ・快適,0.054271613022068066,0.07886002886002885,0.23189109790240225,0.24127288566137897,37,29
固定射影,4,無関係,犬が庭で遊んでいる,雨・不快,0.17144308582905077,0.23964912280701753,0.21601216640104973,0.23602997213880442,37,29
固定射影,5,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.3632257212732291,0.4764318630678077,0.6168632839810314,0.6804265790425623,42,33
固定射影,5,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.0888391496936579,0.22384699453551915,0.4595459008997122,0.4770476059702175,42,33
固定射影,5,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.0740922888128363,0.10308573540280858,0.4456927574794764,0.4698609443027249,42,33
固定射影,5,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.26789436068559963,0.2748627357364526,0.6288678650865371,0.7147427075354473,42,33
固定射影,5,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.31587400458267595,0.5287777777777778,0.545410017796237,0.7183628692856321,45,36
固定射影,5,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.16392124677891914,0.35285396590066714,0.5185914206802638,0.6077165843586402,45,36
固定射影,5,無関係,犬が庭で遊んでいる,晴れ・快適,0.054271613022068066,0.07886002886002885,0.23184167414671855,0.24124731759893572,37,29
固定射影,5,無関係,犬が庭で遊んでいる,雨・不快,0.17144308582905077,0.23964912280701753,0.21601192004283784,0.23595923480212333,37,29
異なる射影,1,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.12782333218636585,0.27564890710382517,0.6168632839810314,0.6804265790425623,35,28
異なる射影,1,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.11537660511386981,0.30569242254572604,0.459581800666357,0.4770476059702175,35,28
異なる射影,1,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.200625006626739,0.2933050847457627,0.4456927574794764,0.4698609443027249,47,41
異なる射影,1,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.2748123536509213,0.3028769841269841,0.628856666748343,0.7147635768738942,47,41
異なる射影,1,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.20200922875556002,0.35524109014675054,0.545410017796237,0.7183628692856321,44,38
異なる射影,1,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.27437828534590036,0.39598039215686276,0.518594503657493,0.6077165843586402,44,38
異なる射影,1,無関係,犬が庭で遊んでいる,晴れ・快適,0.10232946265798702,0.16634615384615387,0.2318892037288145,0.24127288566137897,34,27
異なる射影,1,無関係,犬が庭で遊んでいる,雨・不快,0.11230737778785484,0.17561475409836064,0.21599962734696163,0.2359923549765401,34,27
異なる射影,2,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.21476403422433046,0.3095452595452595,0.6168567010433418,0.6804265790425623,46,38
異なる射影,2,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.2629396495390766,0.4134518978276438,0.45958779679063694,0.4770476059702175,46,38
異なる射影,2,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.170175559450546,0.3085855806274078,0.4456880979396108,0.4698609443027249,52,46
異なる射影,2,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.3785245655040206,0.4821217628350749,0.6288672454191707,0.7147635768738942,52,46
異なる射影,2,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.25399915437078446,0.3062292609351433,0.5454406857892637,0.7183908586719797,42,33
異なる射影,2,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.26414198908358255,0.332144538606403,0.5186163092018754,0.6077426152545403,42,33
異なる射影,2,無関係,犬が庭で遊んでいる,晴れ・快適,0.05987456742202205,0.0870560488346282,0.2318322624264729,0.24124731759893572,34,26
異なる射影,2,無関係,犬が庭で遊んでいる,雨・不快,0.19591580059556843,0.27701863354037265,0.2160079823272457,0.2359439470347289,34,26
異なる射影,3,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.1759179398079218,0.3038833609729132,0.6168462644341687,0.6804115535534441,41,32
異なる射影,3,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.08991354123323264,0.22925106609808105,0.45957428743833234,0.4770672971724763,41,32
