projection_group,probe_label,target_group,trials,core_affinity_mean,core_affinity_std,core_affinity_max_mean,core_affinity_max_std,embedding_affinity_mean,embedding_affinity_std,embedding_affinity_max_mean,embedding_affinity_max_std,probe_nodes_mean,probe_nodes_std,probe_edges_mean,probe_edges_std
固定射影,晴れ未経験,晴れ・快適,5,0.3633746904704156,0.00029793839437304294,0.4764318630678077,0.0,0.6168633650183053,8.898279764090478e-06,0.6804382641820226,2.8761947825792348e-05,42.0,0.0,33.0,0.0
固定射影,晴れ未経験,雨・不快,5,0.0888391496936579,0.0,0.22384699453551918,2.7755575615628914e-17,0.4595745014847659,2.3797065871985278e-05,0.47704779158528654,3.7123013798545654e-07,42.0,0.0,33.0,0.0
固定射影,曖昧な天気,晴れ・快適,5,0.31598119526737606,0.00021438136940021835,0.5287777777777778,0.0,0.5454305987545575,1.616911659163954e-05,0.7183796629174406,1.3711942953061374e-05,45.0,0.0,36.0,0.0
固定射影,曖昧な天気,雨・不快,5,0.16392124677891914,0.0,0.35285396590066714,0.0,0.5186046472255758,9.154609588081745e-06,0.6077322028961802,1.2752482500570935e-05,45.0,0.0,36.0,0.0
固定射影,無関係,晴れ・快適,5,0.05435100668380468,0.00015878732347323067,0.0790982098452387,0.0004763619704196975,0.23185151230446924,2.0647473824430735e-05,0.24125243121142437,1.0227224977299443e-05,37.0,0.0,29.0,0.0
固定射影,無関係,雨・不快,5,0.17144308582905077,0.0,0.23964912280701753,0.0,0.2160114134127363,2.3421628532784405e-06,0.23597032471598064,3.0405774733837736e-05,37.0,0.0,29.0,0.0
固定射影,雨未経験,晴れ・快適,5,0.07314765731264924,0.0018892630003741141,0.10308573540280856,1.3877787807814457e-17,0.4456961134548125,1.4083329731157075e-05,0.46985614909130335,5.872910595821078e-06,42.0,0.0,33.0,0.0
固定射影,雨未経験,雨・不快,5,0.26789436068559963,0.0,0.2748627357364526,0.0,0.6288601660301814,1.599615704743684e-05,0.7147440480287164,1.839878421914563e-05,42.0,0.0,33.0,0.0
異なる射影,晴れ未経験,晴れ・快適,5,0.25215028319883337,0.10318517351341285,0.34722215059142203,0.06469839776000734,0.616859644470019,9.526949880518646e-06,0.6804343091674576,2.3698592107825846e-05,39.8,3.655133376499413,32.2,3.249615361854384
異なる射影,晴れ未経験,雨・不快,5,0.1958979590577295,0.08092793809626354,0.33991109476971537,0.06954469804946728,0.4595811938248591,6.049180447700055e-06,0.477055482451121,9.646679591204397e-06,39.8,3.655133376499413,32.2,3.249615361854384
異なる射影,曖昧な天気,晴れ・快適,5,0.21127365211453647,0.10680367409954634,0.29718723414309434,0.08736329919617294,0.5454193235563272,1.1564089213829476e-05,0.7183683707231785,1.124552522775611e-05,41.8,3.9698866482558417,35.0,4.516635916254486
異なる射影,曖昧な天気,雨・不快,5,0.2468252727216475,0.04699530971937643,0.3232355421665072,0.08731047657359148,0.5186068094819116,7.433996379738728e-06,0.607738607447377,1.8908362921395595e-05,41.8,3.9698866482558417,35.0,4.516635916254486
異なる射影,無関係,晴れ・快適,5,0.09229065920291898,0.0360111480661479,0.14880131316522577,0.035987782327918494,0.23184973053408076,2.1560378272705328e-05,0.24125565760850387,9.481409166196667e-06,34.0,3.1622776601683795,26.4,3.6110940170535577
異なる射影,無関係,雨・不快,5,0.11447027901802136,0.043729613528093556,0.16816656342560865,0.05744554604299646,0.21599957192939953,2.9432333605424083e-05,0.23595415923266283,2.4774910039720366e-05,34.0,3.1622776601683795,26.4,3.6110940170535577
異なる射影,雨未経験,晴れ・快適,5,0.19957950012527897,0.061364228230237516,0.2741206031135218,0.05649970788660577,0.44570134378876236,1.5105471925268475e-05,0.46987235540755307,2.282220965625914e-05,45.0,4.33589667773576,38.0,4.857983120596447
異なる射影,雨未経験,雨・不快,5,0.3109567833435567,0.04416131410233366,0.41368327213878925,0.07201108153896915,0.6288651566888694,4.2450776255090844e-06,0.7147552291385155,1.0223846092878309e-05,45.0,4.33589667773576,38.0,4.857983120596447
