group,semantic_name,n,edge_count_mean,edge_count_std,mean_primary_membership_mean,mean_primary_membership_std,feature_0_mean,feature_0_std,feature_1_mean,feature_1_std,feature_2_mean,feature_2_std,feature_3_mean,feature_3_std,feature_4_mean,feature_4_std,feature_5_mean,feature_5_std,feature_6_mean,feature_6_std,feature_7_mean,feature_7_std,feature_8_mean,feature_8_std,feature_9_mean,feature_9_std
固定射影,晴れ中心型,18,17.833333333333332,9.299044156375547,0.8119557165389572,0.10239381833032835,0.5892072902942469,0.4612212361079916,0.6001831635889606,0.40991379989784094,0.545932060424814,0.4291480120506374,0.2962962962962963,0.4287347001033417,0.0,0.0,0.09457671957671958,0.16275754936795792,0.607890499194847,0.432958053619126,0.06944444444444445,0.19641855032959654,0.38536939442736545,0.39335501731357847,0.0,0.0
固定射影,橋渡し型,5,15.2,3.1874754901018454,0.6264145709610948,0.05322148437509924,0.4968325791855204,0.2798583091582048,0.1152136752136752,0.06631597439039046,0.1,0.20000000000000004,0.31111111111111106,0.3661612678507573,0.0,0.0,0.2688888888888889,0.33083508255904764,0.22933132227249872,0.1391754341821244,0.03529411764705882,0.07058823529411765,0.9294117647058823,0.1411764705882353,0.0,0.0
固定射影,混合補助型,12,25.166666666666668,12.314174308043917,0.6283805207560356,0.1412426403864736,0.11984676681721411,0.04933196008807413,0.0,0.0,0.2379613506960957,0.26042767053555715,0.03428482087018672,0.054012062679860535,0.20945964223707578,0.2333653235495145,0.12750134846697084,0.14440595181252247,0.11862735742613238,0.1435920633384024,0.2632560528901992,0.39344167177148526,0.01909722222222222,0.06333832064914827,0.4191810344827586,0.45289099274871997
固定射影,雨中心型,11,19.363636363636363,6.124061742945196,0.6617301545731507,0.0710329776833034,0.014619883040935672,0.03277416025083521,0.17676355448660544,0.1657048879878602,0.08778575225943647,0.14942364921860937,0.5505297841914785,0.343909702695988,0.539440137371463,0.27975299977543905,0.5574254364642769,0.3624705638059653,0.0289739500265816,0.07574125196041512,0.6364993873437442,0.39266614171618225,0.0,0.0,0.011363636363636364,0.024105912994995937
異なる射影,天気共通型,1,26.0,0.0,0.8967000341401874,0.0,0.8846153846153846,0.0,0.9230769230769231,0.0,0.6153846153846154,0.0,0.46153846153846156,0.0,0.6923076923076923,0.0,0.9615384615384616,0.0,0.8846153846153846,0.0,0.6923076923076923,0.0,0.2692307692307692,0.0,0.0,0.0
異なる射影,晴れ中心型,4,20.75,7.258615570478987,0.765212428827039,0.09315943686324617,0.2603021978021978,0.4076564613176779,0.6339285714285714,0.4121674602708497,0.5625,0.4376821778134337,0.2589285714285714,0.33633586074709576,0.29395604395604397,0.23147132861131176,0.11607142857142858,0.2010416115928161,0.6387362637362637,0.3798443288571726,0.16964285714285715,0.20418922546480842,0.2857142857142857,0.3813242232868326,0.026785714285714284,0.046394218059880636
異なる射影,橋渡し型,5,18.2,7.467261881037788,0.7063467782112415,0.11993682474847123,0.5115151515151515,0.4256012869620206,0.3948384948384948,0.2726517903380853,0.28484848484848485,0.3935195898363133,0.49647852147852145,0.22969715051581865,0.35363636363636364,0.35961871452235455,0.5317748917748918,0.3286219696597419,0.3625,0.4479118216792229,0.25946969696969696,0.33424891474233376,0.7755194805194805,0.17360139134351463,0.015384615384615385,0.03076923076923077
異なる射影,汎用型,1,14.0,0.0,0.729234151708202,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.9285714285714286,0.0,0.42857142857142855,0.0
異なる射影,混合補助型,12,44.166666666666664,39.07222656681967,0.7007092776861509,0.18024006641576343,0.16823044993994898,0.26324242225635447,0.17421506438559484,0.2746898194422284,0.22651240962052352,0.24836444874239025,0.0929225845780866,0.10246022962155074,0.20819106028304357,0.17594058291135914,0.14503373040991177,0.19424894897937559,0.15490221050052233,0.21473887556262058,0.08256799894559713,0.09684305153600313,0.09203358402557758,0.08168342402524827,0.3124123857862686,0.40422491985175857
異なる射影,雨中心型,7,14.714285714285714,4.558016038155376,0.6730313407766311,0.1089167673629791,0.2266380236305048,0.3349965026538423,0.20009157509157507,0.28156101841792863,0.3082706766917293,0.4407323575865517,0.354498258633597,0.3324733375753838,0.3947856654623572,0.2504358468306025,0.587764052989617,0.3814199734955404,0.03401360544217687,0.08331597764568634,0.8612440191387559,0.2729610107499002,0.26378446115288223,0.36301400242967596,0.0821283979178716,0.14819795709066083
