condition,label,n,retention_mean,retention_std,cut_edges_mean,cut_edges_std
天気共通型,晴れ未経験,1,0.376233552631579,0.0,26.0,0.0
天気共通型,曖昧天気,1,0.7826681448632669,0.0,26.0,0.0
天気共通型,遠い対照,1,1.0,0.0,26.0,0.0
天気共通型,雨未経験,1,0.4895982783357245,0.0,26.0,0.0
晴れ中心型,晴れ未経験,9,0.36748673668028503,0.17168540345981234,44.888888888888886,16.53578237536501
晴れ中心型,曖昧天気,9,0.4993457998459865,0.2734744505748336,44.888888888888886,16.53578237536501
晴れ中心型,遠い対照,9,0.9881313131313131,0.03356971587451289,44.888888888888886,16.53578237536501
晴れ中心型,雨未経験,9,0.9193055766684898,0.1103093890707678,44.888888888888886,16.53578237536501
橋渡し型,晴れ未経験,9,0.8289344417526778,0.2211520395082011,18.555555555555557,7.380320846851384
橋渡し型,曖昧天気,9,0.6086065673233498,0.1360731470761197,18.555555555555557,7.380320846851384
橋渡し型,遠い対照,9,0.9948578342407743,0.014544241113334903,18.555555555555557,7.380320846851384
橋渡し型,雨未経験,9,0.9162488410676818,0.13867380703170695,18.555555555555557,7.380320846851384
汎用型,晴れ未経験,1,0.585,0.0,14.0,0.0
汎用型,曖昧天気,1,0.6980861244019139,0.0,14.0,0.0
汎用型,遠い対照,1,0.786029411764706,0.0,14.0,0.0
汎用型,雨未経験,1,0.9142449403217436,0.0,14.0,0.0
混合補助型,晴れ未経験,12,0.7905820655755265,0.1877642854486168,69.33333333333333,29.149995235372202
混合補助型,曖昧天気,12,0.8111438272630865,0.2179224513815242,69.33333333333333,29.149995235372202
混合補助型,遠い対照,12,0.19742958775511,0.11219673133878816,69.33333333333333,29.149995235372202
混合補助型,雨未経験,12,0.7492611504806925,0.19646354152856724,69.33333333333333,29.149995235372202
無処置,晴れ未経験,12,1.0,0.0,0.0,0.0
無処置,曖昧天気,12,1.0,0.0,0.0,0.0
無処置,遠い対照,12,1.0,0.0,0.0,0.0
無処置,雨未経験,12,1.0,0.0,0.0,0.0
雨中心型,晴れ未経験,9,0.9585594696006594,0.05994190899835262,35.111111111111114,13.31202000235914
雨中心型,曖昧天気,9,0.9284028121505435,0.13396187301920578,35.111111111111114,13.31202000235914
雨中心型,遠い対照,9,0.9443414676820517,0.09701380842544455,35.111111111111114,13.31202000235914
雨中心型,雨未経験,9,0.3641979692418536,0.14415548254559699,35.111111111111114,13.31202000235914
