record_type,group,trial,selected_k,candidate_k,selection_score,silhouette,loss,multi_membership_rate,membership_entropy,edge_total
trial,固定射影,1,8,0,0.0,0.0,0.0,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,2,0.3028490321181578,0.3028490321181578,201.05732801595215,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,3,0.25915221676590383,0.27115221676590384,167.37608157587908,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,4,0.25159422475075255,0.27559422475075257,149.34584474885847,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,5,0.27414525154103686,0.31014525154103684,135.00657103392706,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,6,0.302330541391009,0.350330541391009,117.68225218941332,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,7,0.32812376450178077,0.38812376450178077,105.35019130899349,0.07894736842105263,0.5094036890051542,152
candidate,固定射影,1,8,8,0.3368501115504595,0.4088501115504595,94.4993632141852,0.07894736842105263,0.5094036890051542,152
trial,固定射影,2,8,0,0.0,0.0,0.0,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,2,0.3028490321181578,0.3028490321181578,201.05732801595215,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,3,0.25647540100178073,0.26847540100178074,167.2992750783699,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,4,0.247762406487836,0.271762406487836,148.95429937151457,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,5,0.2501587730148521,0.2861587730148521,135.3030303030303,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,6,0.3179152802949068,0.3659152802949068,117.460205453149,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,7,0.34839637253071987,0.40839637253071986,103.94429824561402,0.05921052631578947,0.4988315680692876,152
candidate,固定射影,2,8,8,0.36945053111586457,0.4414505311158646,91.90503537968236,0.05921052631578947,0.4988315680692876,152
trial,固定射影,3,8,0,0.0,0.0,0.0,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,2,0.3028490321181578,0.3028490321181578,201.05732801595215,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,3,0.259969961395745,0.27196996139574503,167.42287561576356,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,4,0.2509506922212029,0.27495069222120294,148.02477359804948,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,5,0.3120680949777408,0.3480680949777408,130.161771984821,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,6,0.33540544194558936,0.38340544194558934,116.70688579155399,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,7,0.3421548063415642,0.4021548063415642,104.28313162585607,0.06578947368421052,0.5373949807350864,152
candidate,固定射影,3,8,8,0.35569939608308165,0.42769939608308166,96.16812865497076,0.06578947368421052,0.5373949807350864,152
trial,固定射影,4,7,0,0.0,0.0,0.0,0.16447368421052633,0.5419102717601496,152
candidate,固定射影,4,7,2,0.3028490321181578,0.3028490321181578,201.05732801595215,0.16447368421052633,0.5419102717601496,152
candidate,固定射影,4,7,3,0.25647540100178073,0.26847540100178074,167.2992750783699,0.16447368421052633,0.5419102717601496,152
candidate,固定射影,4,7,4,0.23800893155464983,0.2620089315546498,150.84307121501388,0.16447368421052633,0.5419102717601496,152
candidate,固定射影,4,7,5,0.2697091776463859,0.3057091776463859,132.62491188658217,0.16447368421052633,0.5419102717601496,152
candidate,固定射影,4,7,6,0.3104168128548756,0.3584168128548756,117.00993848861361,0.16447368421052633,0.5419102717601496,152
