group,trial,edge_a,edge_b,primary_cluster,primary_type,primary_membership,secondary_types,secondary_count,membership_entropy,usage_pattern
固定射影,1,161,446,0,混合補助型,0.5334210377259181,,0,0.7150420391654237,0000000010
固定射影,1,163,254,4,雨中心型,0.47574605886488697,,0,0.7208367441227936,0100110100
固定射影,1,164,354,6,晴れ中心型,0.938192096973069,,0,0.1632844831034402,1110001000
固定射影,1,164,399,6,晴れ中心型,0.938192096973069,,0,0.1632844831034402,1110001000
固定射影,1,168,312,0,混合補助型,0.35907983697487655,,0,0.8787725975667315,1000000010
固定射影,1,168,525,0,混合補助型,0.5334210377259181,,0,0.7150420391654237,0000000010
固定射影,1,169,393,0,混合補助型,0.3857787786692008,,0,0.8780415852434685,0000001010
固定射影,1,169,545,6,晴れ中心型,0.7320751058875278,,0,0.45607975869005724,1110001010
固定射影,1,172,304,1,雨中心型,0.6486058531861584,,0,0.567877074955369,0010100100
固定射影,1,172,382,1,雨中心型,0.6486058531861584,,0,0.567877074955369,0010100100
固定射影,1,177,269,4,雨中心型,0.5092950188448992,,0,0.7346173734981689,0001010000
固定射影,1,179,512,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,179,559,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,190,287,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,193,323,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,196,197,0,混合補助型,0.5334210377259181,,0,0.7150420391654237,0000000010
固定射影,1,201,224,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,201,235,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,201,572,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,203,213,0,混合補助型,0.46425075484350903,,0,0.7687369805678574,0010000000
